Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Зіньківський повітовий суд, м. Зіньків Полтавської губернії	Зіньків	Полтавська
Камера військового слідчого 4-ї дільниці окружного військово-транспортного трибуналу Південної залізниці, м.Полтава Полтавської губ.	Полтава	Полтавська
Касаційна камера по судовим справам міста Полтави і Полтавського гебіту, м. Полтава Полтавського гебіту (період німецько-фашистської окупації Полтавської обл.)	Полтава	Полтавська
Кобеляцький підкоморський суд, м. Кобеляки Полтавської губернії	Кобеляки	Полтавська
Кобеляцький повітовий земський суд, м. Кобеляки Полтавської губернії	Кобеляки	Полтавська
Комишнянський районний суд, с. Комишня Комишнянського р-ну Миргородського гебіту (період німецько-фашистської окупації Полтавської обл.)	Комишня	Полтавська
Костянтиноградський нижній земський суд, м. Костянтиноград Катеринославського намісництва, з 1796р. Малоросійської губ., з 1802р.Полтавської губ.	Костянтиноград	Полтавська
Костянтиноградський повітовий земський суд, м. Костянтиноград Полтавської губернії	Костянтиноград	Полтавська
Костянтиноградський повітовий суд, м. Костянтиноград Полтавської губернії	Костянтиноград	Полтавська
Кременчуцький губернський революційний трибунал (губревтрибунал), м. Кременчук	Кременчук	Полтавська
Кременчуцький окружний суд (окрсуд), м.Кременчук Кременчуцького окр.	Кременчук	Полтавська
Кременчуцький повітовий суд, м.Кременчук Кременчуцького пов. Полтавської губ.	Кременчук	Полтавська
Кременчуцький революційний трибунал Кременчуцького судового округу, м.Кременчук Кременчуцького пов. Полтавської губ.	Кременчук	Полтавська
Кущовий народний суд Полтавського міського р-ну (кущнарсуд), м. Полтава, з 1932 р. Харківської обл.	Полтава	Полтавська
Лохвицька районна судово-земельна комісія, м.Лохвиця Лохвицького р-ну Роменського окр., до 1925р. Полтавської губ.	Лохвиця	Полтавська
Лохвицький нижній земський суд, м. Лохвиця Чернігівського намісництва, з 1796р. Чернігівстької губ., з 1796р. Малоросійської губ., з 1802р. Лохвицького пов.Полтавської губ.	Лохвиця	Полтавська
Лохвицький підкоморський суд, м. Лохвиця Полтавської губернії	Лохвиця	Полтавська
Лохвицький повітовий земський суд, м. Лохвиця Лубенського полку, з 1781р. Чернігівського намісництва, з 1796р. Малоросійської губ., з 1802р. Полтавської губ.	Лохвиця	Полтавська
Лохвицький повітовий суд, м. Лохвиця Чернігівського намісництва, з 1796р. Малоросійської губ., з 1802р. Полтавської губ.	Лохвиця	Полтавська
