target,target_id,url,loser_id,loser_parsed,loser_was_linked,survivor_id,survivor_parsed_before,survivor_parsed_after
file,0c0f9db6-54fa-4ae4-b947-2621a90ba20b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_002_M9M2-DSN,f9b5ab67-5c67-40c7-a427-8e8087e8baaa,ДАЧкО-(403-20-2+++403-20-2+++403-20-2),f,fe308113-bacf-4c44-afc6-964a1d336881,"ДАЧкО-(403-20-2+++403-20-2+++Ф. 403, о. 20, д. 2 Рождения 1825-1832 -- Бракосочетания 1826-1832 -- Смерти 1825-1832)",ДАЧкО-(403-20-2+++403-20-2+++403-20-2)
file,0bd32b93-9a6b-4207-abf1-a20079e62b8a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_003_M9M2-DSJ,6da669f4-4788-409a-9cba-d6c005de284d,ДАЧкО-(403-20-3+++403-20-3+++403-20-3),f,ad1a478a-1f3b-418c-aaba-c5a5468f4f3e,"ДАЧкО-(403-20-3+++403-20-3+++Ф. 403, о. 20, д. 3 Рождения, бракосочетания, смерти 1833-1838)",ДАЧкО-(403-20-3+++403-20-3+++403-20-3)
file,5cf9a437-d508-43b4-8381-c03e4a900021,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_004_M9M2-DSV,db2736c4-24b5-4bc2-8afd-b1260c059538,ДАЧкО-(403-20-4+++403-20-4+++403-20-4),f,a0f9ffe2-e1a9-4d0e-8015-42e993b45286,"ДАЧкО-(403-20-4+++403-20-4+++Ф. 403, о. 20, д. 4 Рождения 1840-1859 -- Бракосочетания, смерти 1836-1859)",ДАЧкО-(403-20-4+++403-20-4+++403-20-4)
file,a70e5bf4-fb1d-4909-8902-8272e2dbb5a1,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_005_M9M2-DSK,55046e13-59c7-486b-84e3-bac0b7f34ff8,ДАЧкО-(403-20-5+++403-20-5+++403-20-5),f,25b98040-ff1f-440f-ae36-e1ceee216473,"ДАЧкО-(403-20-5+++403-20-5+++Ф. 403, о. 20, д. 5 Рождения, бракосочетания, смерти 1839-1842)",ДАЧкО-(403-20-5+++403-20-5+++403-20-5)
file,45f22ccb-6e43-44e9-b782-a60c9ce6bfae,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_006_M9M2-DS2,975a032d-ba18-48f4-9d04-022d6c0c58c7,ДАЧкО-(403-20-6+++403-20-6+++403-20-6),f,3010d9af-43a7-4499-941a-e8de50c0cd2c,"ДАЧкО-(403-20-6+++403-20-6+++Ф. 403, о. 20, д. 6 Рождения, бракосочетания, смерти 1847-1850)",ДАЧкО-(403-20-6+++403-20-6+++403-20-6)
file,21d80b81-14b4-403b-9608-a5a3c7241e6c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007817829_007_M9M2-DSL,85e65d7f-8640-4050-a8cd-9bec9d65c853,ДАЧкО-(403-20-7+++403-20-7+++403-20-7),f,02602404-ec22-41a9-9381-ce74f6a3f21f,"ДАЧкО-(403-20-7+++403-20-7+++Ф. 403, о. 20, д. 7 Рождения 1843-1845 -- Бракосочетания 1843-1846)",ДАЧкО-(403-20-7+++403-20-7+++403-20-7)
file,104dfa3a-42ed-49cc-9557-faddd27b378f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819216_004_M9M2-XD1,41e9754e-dfe3-46d9-baf8-343ece876608,ДАЧкО-(660-1-2060+++660-1-2060+++660-1-2060),f,b3954b50-7552-4992-b430-e54150949b5f,ДАЧкО-(660-1-2060+++660-1-2060+++660-1-2060_1863),ДАЧкО-(660-1-2060+++660-1-2060+++660-1-2060)
file,1bb5728b-6163-46c5-9a64-acacdd3cda1f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819216_007_M9M2-X6S,e1117345-b93c-4dd9-9063-e406bcfc0803,ДАЧкО-(660-1-2130+++660-1-2130+++660-1-2130),f,bb35ce25-5578-441e-9048-94dd77fb07de,ДАЧкО-(660-1-2130+++660-1-2130+++660-1-2130_1903),ДАЧкО-(660-1-2130+++660-1-2130+++660-1-2130)
file,7c849a83-7aa2-4538-8ba8-cc7a3ed68aa9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819448_001_M9M2-KWT,7d51f6bc-5746-4295-b85c-25f4e2eeb6b1,ДАЧкО-(403-8-5+++403-8-5+++403-8-5),f,c4d78790-77d6-4ef8-b5eb-76301afa5018,"ДАЧкО-(403-8-5+++403-8-5+++Ф. 403, о. 8, д. 5 (продолжение) Рождения 1830-1837 -- Бракосочетания 1824-1836 -- Смерти 1824-1837)",ДАЧкО-(403-8-5+++403-8-5+++403-8-5)
file,03c23db9-c8fc-44c7-a95d-2acfcf380603,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819448_002_M9M2-KWY,77beefaf-d05b-446d-98c8-a574ade73949,ДАЧкО-(403-8-6+++403-8-6+++403-8-6),f,facf8dc0-d090-4e7b-ba9e-f325d88d489e,"ДАЧкО-(403-8-6+++403-8-6+++Ф. 403, о. 8, д. 6 Рождения 1838-1852 -- Бракосочетания 1838-1848 (в беспорядке) -- Бракосочетания 1851-1852 (в беспорядке) -- Смерти 1838-1852)",ДАЧкО-(403-8-6+++403-8-6+++403-8-6)
