target,rule,target_full_code,parsed,resource,oc_id,target_id,url
file,R0 norm+separators,ДАЗКО-1606-9-131,ДАЗкО-(1606-9-131+++1606-9-131+++1606-9-131),fs,8c131ee1-07d9-4493-85a0-c697ac68bb01,f3393dac-d11a-4966-acaa-03096bd26eaf,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947202
file,R0 norm+separators,ДАЗКО-1606-9-132,ДАЗкО-(1606-9-132+++1606-9-132+++1606-9-132),fs,8a8219f0-16ae-4289-9093-015a897597fb,819b7638-0c4f-43ea-93f4-d6ee068ee6e2,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945738
file,R0 norm+separators,ДАЗКО-1606-9-133,ДАЗкО-(1606-9-133+++1606-9-133+++1606-9-133),fs,2b0f6ee3-851a-4615-aaf5-95d6e5fe797d,e9f8465f-cb1b-4a01-a0f1-6eb38804370e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945595
file,R0 norm+separators,ДАЗКО-1606-9-134,ДАЗкО-(1606-9-134+++1606-9-134+++1606-9-134),fs,9839a4df-434d-4320-ad01-bd39257fe171,ca220f86-8ca4-49ff-96d2-2a7341881f6b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945537
file,R0 norm+separators,ДАЗКО-1606-9-135,ДАЗкО-(1606-9-135+++1606-9-135+++1606-9-135),fs,8029006a-d8aa-4c87-960d-a1c819645986,a93546e3-002e-4929-9529-c41589d0c90a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945569
file,R0 norm+separators,ДАЗКО-1606-9-136,ДАЗкО-(1606-9-136+++1606-9-136+++1606-9-136),fs,a0432c05-659d-4fef-a958-4234c3132dc5,189debe5-b106-43f5-b31c-8ca4b792087b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946464
file,R0 norm+separators,ДАЗКО-1606-9-137,ДАЗкО-(1606-9-137+++1606-9-137+++1606-9-137),fs,cf18193a-25ed-48d8-8e4e-8e7e7fcb5f4b,53567616-cd1e-4adb-b1d1-b51102b65988,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945409
file,R0 norm+separators,ДАЗКО-1606-9-138,ДАЗкО-(1606-9-138+++1606-9-138+++1606-9-138),fs,b0f468dc-cfef-4f8b-a782-d0164f04fcdf,9525c141-927a-4787-9a6d-813f1046674c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947131
file,R0 norm+separators,ДАЗКО-1606-9-139,ДАЗкО-(1606-9-139+++1606-9-139+++1606-9-139),fs,0995050b-76cb-4d8f-9e30-e3b82e94a351,41b49fe0-7b2d-4c7f-9cbf-ff0fe8bd465a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945621
file,R0 norm+separators,ДАЗКО-1606-9-140,ДАЗкО-(1606-9-140+++1606-9-140+++1606-9-140),fs,c8f86250-1c8b-41ca-99cc-36837715582d,b5f59315-2f45-434d-ad9e-e1466d8f6308,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946527
file,R0 norm+separators,ДАЗКО-1606-9-142,ДАЗкО-(1606-9-142+++1606-9-142+++1606-9-142),fs,4485e184-5645-4c28-b2e4-f71b429cb948,9f463541-136a-4092-95d4-ec1420dd9d4b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946473
file,R0 norm+separators,ДАЗКО-1606-9-143,ДАЗкО-(1606-9-143+++1606-9-143+++1606-9-143),fs,8f987b34-17e9-4f8e-97f8-cb9fd9c01666,17888ea9-18fb-4709-829f-41deda34a464,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946953
file,R0 norm+separators,ДАЗКО-1606-9-144,ДАЗкО-(1606-9-144+++1606-9-144+++1606-9-144),fs,066ef782-a441-4ccc-a237-cb7a4f0555a1,863bda65-5d22-4935-b74c-db5447fb3d39,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946501
file,R0 norm+separators,ДАЗКО-1606-9-146,ДАЗкО-(1606-9-146+++1606-9-146+++1606-9-146),fs,beedd598-c872-43ce-a6f9-6633150daa91,8a19b011-627c-4249-a174-39d399716308,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946610
file,R0 norm+separators,ДАЗКО-1606-9-147,ДАЗкО-(1606-9-147+++1606-9-147+++1606-9-147),fs,e0bac5ed-97c4-4361-87c1-f91f54931e28,83dcf421-6961-45f2-b707-120e97c5a87d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946563
file,R0 norm+separators,ДАЗКО-1606-9-148,ДАЗкО-(1606-9-148+++1606-9-148+++1606-9-148),fs,a972b5cd-085d-4066-8b19-13d2429c8f0a,eabe6dc1-0e30-44ea-b467-24c1bbc52ca6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946706
file,R0 norm+separators,ДАЗКО-1606-9-149,ДАЗкО-(1606-9-149+++1606-9-149+++1606-9-149),fs,0fea0eba-86f8-42e3-a362-dcbfed24a33f,ad103fb7-d0e4-43e7-bbc8-c5c3387160ce,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946688
file,R0 norm+separators,ДАЗКО-1606-9-150,ДАЗкО-(1606-9-150+++1606-9-150+++1606-9-150),fs,336ed987-5123-4706-a0b9-37a7bbfcdeba,93d0fe41-1e72-4609-a2c4-6123eefaaa26,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946790
file,R0 norm+separators,ДАЗКО-1606-9-151,ДАЗкО-(1606-9-151+++1606-9-151+++1606-9-151),fs,6fee4431-1f77-4bfd-9bea-5c54df29e5b8,bde11f1d-8bf7-4f32-9396-3b4542ed10b2,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946746
file,R0 norm+separators,ДАЗКО-1606-9-152,ДАЗкО-(1606-9-152+++1606-9-152+++1606-9-152),fs,52050867-aec8-4e1d-a88c-6ede2e5d394f,0ab23e73-e8c8-43fc-a1ba-30d139efdad6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127946265
file,R0 norm+separators,ДАЗКО-1606-9-155,ДАЗкО-(1606-9-155+++1606-9-155+++1606-9-155),fs,149516fa-ceaa-4d82-9eb2-69954a989bd0,4d215c09-8900-4921-a7a4-9bbdc8dfea5b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947651
file,R0 norm+separators,ДАЗКО-1606-9-156,ДАЗкО-(1606-9-156+++1606-9-156+++1606-9-156),fs,e9343e48-6b85-41eb-89e9-bbd3637d7dcf,2d041b41-fc43-44da-bccb-2f5b22ea4197,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947675
file,R0 norm+separators,ДАЗКО-1606-9-160,ДАЗкО-(1606-9-160+++1606-9-160+++1606-9-160),fs,1a24a4ed-3731-46f9-9b56-b96b8a594f25,993f0f14-4cca-4099-a2d0-df8fc70d860b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947592
file,R0 norm+separators,ДАЗКО-1606-9-164,ДАЗкО-(1606-9-164+++1606-9-164+++1606-9-164),fs,e610adbd-6811-412f-b8f6-063c779d2622,b2fa799f-5540-4e0b-8562-4c327472f63b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947550
file,R0 norm+separators,ДАЗКО-1606-9-165,ДАЗкО-(1606-9-165+++1606-9-165+++1606-9-165),fs,802c654f-8d45-4016-85d0-082475253608,55ae0837-f5c1-4760-956a-e0f0fe91b55c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947614
file,R0 norm+separators,ДАЗКО-1606-9-166,ДАЗкО-(1606-9-166+++1606-9-166+++1606-9-166),fs,65235c4e-f7b0-4b66-82a6-0ba913db7950,112ff134-4f6a-47e5-9e7b-c186c63f6d96,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947410
file,R0 norm+separators,ДАЗКО-1606-9-167,ДАЗкО-(1606-9-167+++1606-9-167+++1606-9-167),fs,a8a75e00-2339-4929-b423-90d9d7ada045,b887bfe2-16c7-4d63-82bc-27c1b90eceee,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947271
file,R0 norm+separators,ДАЗКО-1606-9-168,ДАЗкО-(1606-9-168+++1606-9-168+++1606-9-168),fs,75f8f150-929b-445b-b697-13de14545177,04bc6f67-785a-41b3-8f77-9641f3ca3e12,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947567
file,R0 norm+separators,ДАЗКО-1606-9-169,ДАЗкО-(1606-9-169+++1606-9-169+++1606-9-169),fs,35ba511f-6ac7-4df8-bad9-b8eafdc593d1,8b55478e-6e16-48ae-a135-80ce4715238d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947488
file,R0 norm+separators,ДАЗКО-1606-9-171,ДАЗкО-(1606-9-171+++1606-9-171+++1606-9-171),fs,01b9a8cf-e07f-4919-a5f2-2d7320f2a517,ff513340-362a-4e75-9467-def2ff81ce94,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127947298
