online_copy_id,file_id,inv_code,sprava,parsed
bbc61c78-dedb-4e14-ab57-f7ffee568fcc,1061789a-44e8-4fa0-98bf-6e4d3124ad03,27ДОД,44,ДАДнО-(Р-6508-27-дод.44+++Р-6508-27-дод.44+++Р-6508-27-дод.44_1928-1933)
f23e481b-6443-4c51-b750-e822bcdd7f33,385efb78-a645-4937-b8ae-90e3397ca0d7,27ДОД,48,ДАДнО-(Р-6508-27-дод.48+++Р-6508-27-дод.48+++Р-6508-27-дод.48_1929-1933)
f9705735-9e30-46a0-bace-fecc654768f4,6fd5f129-33eb-49a1-82ff-8fa503d5a810,27ДОД,49,ДАДнО-(Р-6508-27-дод.49+++Р-6508-27-дод.49+++Р-6508-27-дод.49_1929-1933)
3447316c-e2ec-4dac-9bc5-2053743a0bca,74f99226-7674-4a73-baa4-3b83b4abcb8b,27ДОД,52,ДАДнО-(Р-6508-27-дод.52+++Р-6508-27-дод.52+++Р-6508-27-дод.52_1929-1933)
e1546147-1a3d-4461-a9bb-a72bad13b27b,372b7297-c154-446a-bcd3-57880bc1e24e,27ДОД,53,ДАДнО-(Р-6508-27-дод.53+++Р-6508-27-дод.53+++Р-6508-27-дод.53_1929-1931)
c5c1587c-56e5-4b53-ad10-7f81406905e1,d31207d2-3d65-4104-8808-23f7f6f87b22,27ДОД,55,ДАДнО-(Р-6508-27-дод.55+++Р-6508-27-дод.55+++Р-6508-27-дод.55_1929-1933)
1d6737b3-eff1-4e07-a799-de336202cc57,800f7f3e-82db-4f39-92f5-c5ba70a26a40,27ДОД,62,ДАДнО-(Р-6508-27-дод.62+++Р-6508-27-дод.62+++Р-6508-27-дод.62)
0e5f47a1-4d6e-4c27-aa0c-a5cd494eba7e,59b7b716-75bf-4701-bef4-cb9409009ff7,27ДОД,63,ДАДнО-(Р-6508-27-дод.63+++Р-6508-27-дод.63+++Р-6508-27-дод.63)
7a836f96-acfd-4357-9b9c-2f0dccd06e97,fdf8c3bb-c864-43a3-be50-a7fb8e573eeb,27ДОД,64,ДАДнО-(Р-6508-27-дод.64+++Р-6508-27-дод.64+++Р-6508-27-дод.64)
0bcbfd2f-fb84-45e7-9f7e-ed852099a609,7119124e-cc3f-41c3-89d1-66ecc8128a41,27ДОД,65,ДАДнО-(Р-6508-27-дод.65+++Р-6508-27-дод.65+++Р-6508-27-дод.65)
ce193676-6fd2-4521-961e-988bce057723,1a9dcd05-222a-4c14-8d1b-646fd746775b,27ДОД,69,ДАДнО-(Р-6508-27-дод.69+++Р-6508-27-дод.69+++Р-6508-27-дод.69_1930-1933)
212d5f3c-5f34-4e45-aeea-36bbb5ea6a3b,64183042-6fe1-4c23-adac-c40f4213af09,27ДОД,70,ДАДнО-(Р-6508-27-дод.70+++Р-6508-27-дод.70+++Р-6508-27-дод.70)
6f9d8825-40d1-490a-a163-dcf4faf5064f,b9806e73-cd21-4e70-950a-cf9c24a721a4,27ДОД,79,ДАДнО-(Р-6508-27-дод.79+++Р-6508-27-дод.79+++Р-6508-27-дод.79_1934)
15759c4a-f317-4b42-b6bc-ad68adc719ba,f11b3c90-0ee1-4a9a-9e54-7ff20cf5c093,27ДОД,8,ДАДнО-(Р-6508-27-дод.8+++Р-6508-27-дод.8+++Р-6508-27-дод.8)
