76	1	18	Метрична книга. Казанська церква, с. Андріївка-Клєвцове Андріївської вол. Маріупольськогопов.	1816-1921	метрична книга|народження|смерть|шлюб	1	Казанська церква, с. Андріївка-Клєвцове Андріївська волость Маріупольський повіт
82	1	32	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1915-1915	метрична книга|шлюб	0	Покровська церква, с. Зайцеве Бахмутський повіт
83	1	21	Метрична книга. Вознесенська церква, с. Государів Байрак Бахмутського пов.	1904-1904	метрична книга|смерть	0	Вознесенська церква, с. Государів Байрак Бахмутський повіт
102	1	3	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1916-1916,1919-1920	метрична книга|шлюб	0	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	15	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1861-1862	метрична книга|народження|смерть|шлюб	2	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	20	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1867-1870	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	21	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1880-1882	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	22	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1880-1881	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	23	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1885-1886	метрична книга|народження|смерть|шлюб	1	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
102	1	24	Метрична книга. Миколаївська церква, с. Олексіївка Андріївської вол. Бахмутського пов.	1888-1890	метрична книга|народження|смерть|шлюб	2	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії | Миколаївська церква, с. Олексіївка Андріївська волость Бахмутський повіт
