204	Церква Скорботних радощів Харківської духовної консисторії, сл. Богородичне Ізюмського повіту Харківської губернії			1	13
205	Церква Скорботних радощів Харківської духовної консисторії, сл. Богородичне Ізюмського повіту Харківської губернії			1	13
206	Іллінська церква Катеринославської духовної консисторії, с. Темрюк Маріупольського повіту Катеринославської губернії			1	24
208	Миколаївська церква (молитовний будинок) Катеринославської духовної консисторії, с. Нікольське (станиця Нікольська) Покровської волості Азовського козачого війська Олександрівського, з 1874 р. – Маріупольського повіту Катеринославської губернії			1	20
209	Федоро-Стратилатівська церква Катеринославської духовної консисторії, с. Мало-Янисоль Маріупольського повіту Катеринославської губернії			1	34
210	Костянтино-Оленівська церква Катеринославської духовної консисторії, с. Чердакли Маріупольського повіту Катеринославської губернії			1	16
211	Синагога міста Маріуполя Маріупольського повіту Катеринославської губернії		1866-1922	1	41
212	Марія-Магдалинівська церква Катеринославської духовної консисторії, м. Маріуполь Маріупольського повіту Катеринославської губернії			2	31
213	Успенська церква Катеринославської духовної консисторії, м. Маріуполь Маріупольського повіту Катеринославської губернії			1	26
214	Церква Різдва Богородиці Катеринославської духовної консисторії, м. Маріуполь Маріупольського повіту Катеринославської губернії			1	19
215	Соборна Харлампієвська церква Катеринославської духовної консисторії, м. Маріуполь Маріупольського повіту Катеринославської губернії			1	38
216	Георгіївська церква Катеринославської духовної консисторії, с. Сартана Олександрівського, з 1874 р. – Маріупольського повіту Катеринославської губернії			1	25
217	Успенська церква Катеринославської духовної консисторії, с. Старий Крим Маріупольського повіту Катеринославської губернії			1	20
219	Преображенський молитовний будинок Катеринославської духовної консисторії, с. Кодемо Бахмутського повіту Катеринославської губернії			1	13
220	Миколаївська церква Катеринославської духовної консисторії, с. Луганське Бахмутського повіту Катеринославської губернії			1	29
221	Миколаївська церква Катеринославської духовної консисторії, с. Луганське Бахмутського повіту Катеринославської губернії			1	28
222	Митрофанівська церква Катеринославської духовної консисторії, с. Златоустівка Олександрівського повіту, з 1874 р. - Маріупольського повіту Катеринославської губернії			1	19
223	Архангело-Михайлівська церква Катеринославської духовної консисторії, с. Єгорівка Олександрівського повіту, з 1874 р. - Маріупольського повіту Катеринославської губернії			1	15
224	Петропавловська церква (молитовний будинок) Катеринославської духовної консисторії, с. Апостолівка Стретенської волості Олександрівського повіту, з 1874 р. – Маріупольського повіту Катеринославської губернії			1	7
225	Миколаївський молитовний будинок Катеринославської духовної консисторії, с. Кирилівка Іванівської волості Олександрівського повіту, з 1874 р. - Маріупольського повіту Катеринославської губернії			1	19
226	Миколаївський молитовний будинок Катеринославської духовної консисторії, с. Ольгинка Олександрівського повіту, з 1874 р. - Маріупольського повіту Катеринославської губернії			2	37
228	Миколаївська церква Катеринославської духовної консисторії, с. Стретенка Олександрівського повіту, з 1874 р. - Маріупольського повіту Катеринославської губернії			1	12
