copy_id,parsed,ref,fond,complex,inv_code,file_code,method
ab9f437c-25e6-4bcd-9991-75cb4f7a8105,ЦДНТА-(Р-107-3-36-6-2347+++Р-107-3-36-6-2347+++Р-107-3-36-6-2347),Р-107-3-36-6-2347,Р107,3-36,6,2347,opys-explicit
041b14d7-62f1-42c0-bda4-20f11e415986,ЦДНТА-(Р-107-3-36-6-2359+++Р-107-3-36-6-2359+++Р-107-3-36-6-2359),Р-107-3-36-6-2359,Р107,3-36,6,2359,opys-explicit
462992c9-f10c-4536-962f-cf8627fc750e,ЦДНТА-(Р-107-3-36-6-2381+++Р-107-3-36-6-2381+++Р-107-3-36-6-2381),Р-107-3-36-6-2381,Р107,3-36,6,2381,opys-explicit
562a1231-4e0b-4be6-b2f1-49bb87dfedb6,ЦДНТА-(Р-107-3-36-6-2382+++Р-107-3-36-6-2382+++Р-107-3-36-6-2382),Р-107-3-36-6-2382,Р107,3-36,6,2382,opys-explicit
54c7938f-de2b-4e6c-9580-4d1298dd8595,ЦДНТА-(Р-107-3-36-6-2428+++Р-107-3-36-6-2428+++Р-107-3-36-6-2428),Р-107-3-36-6-2428,Р107,3-36,6,2428,opys-explicit
559c7353-0324-4b1d-9976-b25c84801fe9,ЦДНТА-(Р-107-3-36-6-2407+++Р-107-3-36-6-2407+++Р-107-3-36-6-2407),Р-107-3-36-6-2407,Р107,3-36,6,2407,opys-explicit
517d1e48-8128-4827-9bbe-651ee4453661,ЦДНТА-(Р-107-3-36-6-2425+++Р-107-3-36-6-2425+++Р-107-3-36-6-2425),Р-107-3-36-6-2425,Р107,3-36,6,2425,opys-explicit
69abcf60-9fb9-4802-88b0-ff41d660ec29,ЦДНТА-(Р-107-3-36-6-2431+++Р-107-3-36-6-2431+++Р-107-3-36-6-2431),Р-107-3-36-6-2431,Р107,3-36,6,2431,opys-explicit
014f16b5-601c-4d11-85c1-1022e87b5352,ЦДНТА-(Р-107-3-36-7-2461+++Р-107-3-36-7-2461+++Р-107-3-36-7-2461),Р-107-3-36-7-2461,Р107,3-36,7,2461,opys-explicit
0fdbc15d-54bf-419c-be09-9b9cd92ad655,ЦДНТА-(Р-107-3-36-6-2449+++Р-107-3-36-6-2449+++Р-107-3-36-6-2449),Р-107-3-36-6-2449,Р107,3-36,6,2449,opys-explicit
025280c6-e60c-4695-a945-95e47854273f,ЦДНТА-(Р-107-3-36-6-2444+++Р-107-3-36-6-2444+++Р-107-3-36-6-2444),Р-107-3-36-6-2444,Р107,3-36,6,2444,opys-explicit
41e76708-db4a-41e6-b373-ec2ddcf5ba78,ЦДНТА-(Р-107-3-36-6-2445+++Р-107-3-36-6-2445+++Р-107-3-36-6-2445),Р-107-3-36-6-2445,Р107,3-36,6,2445,opys-explicit
3d6aff50-e35c-4ae8-8aa9-93eeb6ada07e,ЦДНТА-(Р-107-3-36-7-2487+++Р-107-3-36-7-2487+++Р-107-3-36-7-2487),Р-107-3-36-7-2487,Р107,3-36,7,2487,opys-explicit
73554a9f-76bb-414c-ac75-4461a5bf5206,ЦДНТА-(Р-107-3-36-7-2474+++Р-107-3-36-7-2474+++Р-107-3-36-7-2474),Р-107-3-36-7-2474,Р107,3-36,7,2474,opys-explicit
d3989367-6bb5-4098-9666-d9e5dfc1840a,ЦДНТА-(Р-107-3-36-7-2494+++Р-107-3-36-7-2494+++Р-107-3-36-7-2494),Р-107-3-36-7-2494,Р107,3-36,7,2494,opys-explicit
11191e77-04aa-4f83-868c-f0923d071b4d,ЦДНТА-(Р-107-3-36-7-2510+++Р-107-3-36-7-2510+++Р-107-3-36-7-2510),Р-107-3-36-7-2510,Р107,3-36,7,2510,opys-explicit
ff29f3d2-83f9-4a83-bee6-25e330b4661a,ЦДНТА-(Р-107-3-36-7-2537+++Р-107-3-36-7-2537+++Р-107-3-36-7-2537),Р-107-3-36-7-2537,Р107,3-36,7,2537,opys-explicit
f03795b1-ecb5-429c-8b16-c43b7dafd960,ЦДНТА-(Р-107-3-36-7-2524+++Р-107-3-36-7-2524+++Р-107-3-36-7-2524),Р-107-3-36-7-2524,Р107,3-36,7,2524,opys-explicit
6086487c-e173-41cd-b4b5-dfb12f403dd9,ЦДНТА-(Р-107-3-36-7-2520+++Р-107-3-36-7-2520+++Р-107-3-36-7-2520),Р-107-3-36-7-2520,Р107,3-36,7,2520,opys-explicit
13bf366e-3db4-4d29-98e6-11f3c42ac6b4,ЦДНТА-(Р-107-3-36-7-2526+++Р-107-3-36-7-2526+++Р-107-3-36-7-2526),Р-107-3-36-7-2526,Р107,3-36,7,2526,opys-explicit
