arch,fond,inv,anomalies,min_anom,max_anom,body_p95,body_files,concat,yearlike,isolated,empty_shells
ДАЧкО,224,1,1,422,422,42,40,1,0,0,0
ЦДАВО,4024,1,1,1907,1907,207,19,0,1,0,0
ДААРК,282,1,1,6142,6142,103,21,0,0,1,0
ДАПО,П15,2,1,16406,16406,2971,134,1,0,0,0
ДАКрО,347,1,1,442,442,83,86,1,0,0,0
ДАЗкО,Р1606,14,1,25730,25730,131,33,1,0,0,0
ЦДАВО,2193,2,1,1918,1918,128,135,0,1,0,0
ЦДАМЛМ,655,1,1,11780,11780,1933,274,1,0,0,1
ДАЛуО,126,1,1,106430,106430,147,155,1,0,0,0
ДАКрО,144,1,1,25500,25500,25,25,1,0,0,0
ДАКрО,155,1,1,28467,28467,28,28,1,0,0,0
ДАХмО,244,1,1,785,785,53,56,1,0,0,0
ДАЧвО,12,2,1,78112,78112,7805,495,1,0,0,1
ДАДоО,102,1,1,3481,3481,551,18,1,0,0,0
ЦДАВО,3883,1,1,1917,1917,30,31,0,1,0,0
ДАЖО,85,1,1,183,183,34,19,1,0,0,0
ДАКрО,121,1,1,21498,21498,23,23,1,0,0,0
ДАДнО,193,5ДОД,1,13608,13608,48,51,1,0,0,0
ЦДАВО,1,24,1,58915900,58915900,6203,1197,0,0,1,0
ЦДАВО,3520,1,1,1919,1919,209,19,0,1,0,0
ЦДАВО,3895,1,1,1915,1915,26,27,0,1,0,0
ЦДАМЛМ,22,2,1,460,460,41,43,1,0,0,1
ДАПО,370,2,1,5198,5198,743,781,1,0,0,0
ДАТО,5,1,1,2009,2009,202,43,0,1,0,1
ДАДоО,311,1,1,24113,24113,24,25,1,0,0,0
ЦДІАК,1975,1,1,1743,1743,314,330,1,0,0,0
ДАЖО,638,1,1,428,428,41,43,1,0,0,0
ДААРК,323,1,1,148149,148149,173,181,1,0,0,0
ДАКрО,344,1,1,441,441,37,39,1,0,0,0
