imp_id,imp_title,old_id,old_title,dist_km,full_sim
31e15868-dfdb-40b0-9778-cd20b8c1b281,Андріяшівка,ea1f383a-9085-48f4-a9ba-6b7eecb95943,"Дмитрівська церква, с. Андріяшівка Ямпільський повіт Тиманівська волость",0.11,0.19
31e15868-dfdb-40b0-9778-cd20b8c1b281,Андріяшівка,0798d438-46bc-46c2-a53d-2b07a2537487,"Дмитрівська церква, с. Андріяшівка Ямпільський повіт Подільська губернія",0.11,0.20
5e091d7b-e012-44fc-84f3-044525c9b553,Антопіль,9bd495ca-8c68-4013-811e-a76a83b18ed2,"Хрестовоздвиженська церква, с. Антопіль Ямпільський повіт Подільська губернія",0.21,0.14
5e091d7b-e012-44fc-84f3-044525c9b553,Антопіль,1506bced-60dd-4a60-a953-89253964df03,"Хрестовоздвиженська церква, с. Антопіль Ямпільський повіт Комаргородська волость",0.21,0.12
fc4fbcef-f2ae-45f6-ab05-21f5b63e23ac,Бабчинці (Миколаївська),38fa0099-800f-4d01-8d3d-9cd4e27aaa33,"Миколаївська церква, с. Бабчинці Ямпільський повіт Подільська губернія",0.26,0.37
fc4fbcef-f2ae-45f6-ab05-21f5b63e23ac,Бабчинці (Миколаївська),64f2f5b3-f6ac-4e92-ba30-cd8e797f25fd,"Покровська церква, с. Бабчинці Ямпільський повіт Бабчинецька волость",0.26,0.20
fc4fbcef-f2ae-45f6-ab05-21f5b63e23ac,Бабчинці (Миколаївська),6d8c297b-5990-49eb-b541-d8d618b97043,"Миколаївська церква, с. Бабчинці Могилівський повіт Подільська губернія",0.26,0.35
fc4fbcef-f2ae-45f6-ab05-21f5b63e23ac,Бабчинці (Миколаївська),797238d8-43e0-4244-8606-586bea45dbfa,"Миколаївська церква, с. Бабчинці Ямпільський повіт Бабчинецька волость",0.26,0.37
f4e11170-5f5f-432a-9213-4ede273db00f,Бабчинці (Покровська),6d8c297b-5990-49eb-b541-d8d618b97043,"Миколаївська церква, с. Бабчинці Могилівський повіт Подільська губернія",0.88,0.22
f4e11170-5f5f-432a-9213-4ede273db00f,Бабчинці (Покровська),38fa0099-800f-4d01-8d3d-9cd4e27aaa33,"Миколаївська церква, с. Бабчинці Ямпільський повіт Подільська губернія",0.88,0.23
f4e11170-5f5f-432a-9213-4ede273db00f,Бабчинці (Покровська),797238d8-43e0-4244-8606-586bea45dbfa,"Миколаївська церква, с. Бабчинці Ямпільський повіт Бабчинецька волость",0.88,0.23
f4e11170-5f5f-432a-9213-4ede273db00f,Бабчинці (Покровська),64f2f5b3-f6ac-4e92-ba30-cd8e797f25fd,"Покровська церква, с. Бабчинці Ямпільський повіт Бабчинецька волость",0.88,0.36
dc24205a-329e-48fe-aa99-332292008a81,Бережниця,96ce22c5-eb27-4e77-b404-7c3617e0ac66,"Церква Святого великомученика Димитрія, с. Бережниця Повурська волость Ковельський повіт",0.46,0.13
dc24205a-329e-48fe-aa99-332292008a81,Бережниця,8e444260-dd0b-4bc1-9d87-a34e2ca3542a,"Церква Святого Димитрія Солунського, с. Бережниця Ковельський повіт",0.46,0.16
e7fc027c-f234-4954-b77c-e80d05317ffd,Бережці,4198b3b0-8d2e-4fa5-8804-c9d56e30c826,"Церква Святого Архістратига Михаїла, с. Бережці Бережцівська волость Володимир-Волинський повіт",0.99,0.10
e7fc027c-f234-4954-b77c-e80d05317ffd,Бережці,adbd97a6-9974-461e-9088-e7d4e65b84a6,"Церква Покрови Пресвятої Богородиці, с. Бережці Бережцівська волость Володимир-Волинський повіт",0.99,0.11
7097b467-ae2d-4cf4-8bec-a4e84318884a,"Берестове, Свято Троїцька",9ac852c8-32b9-443a-8fe0-8f2749d39bc0,"Церква Святої Трійці, с. Берестове Бердянський повіт Андріївська волость",1.20,0.26
7097b467-ae2d-4cf4-8bec-a4e84318884a,"Берестове, Свято Троїцька",6366cbef-89bd-46af-833f-ce3a8e8c5079,"Церква Святого Олександра Невського, с. Берестове Бердянський повіт Андріївська волость",1.20,0.20
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),d713507b-5586-4e3b-a1b6-2dbde951f6cc,"Михайлівська церква, с. Борівка Ямпільський повіт Бабчинецька волость",1.01,0.16
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),bff4f921-2320-403b-8082-dd3acb5b01d2,"Соборо-Богословська церква, с. Борівка Ямпільський повіт Подільська губернія",1.01,0.30
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),53b924c4-acb1-4afd-909a-e6e048351836,"Іоанно-Богословська церква, с. Борівка Ямпільський повіт Подільська губернія",1.01,0.29
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),9fd610f7-3beb-4060-ad79-14ef7d4e1e53,"Михайлівська церква, с. Борівка Могилівський повіт Подільська губернія",1.01,0.17
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),db93a985-dabb-4c66-9358-7d105190673b,"Богуславська церква, с. Борівка Могилівський повіт Подільська губернія",1.01,0.18
9a3697bd-52ed-4bb2-aa70-5c903e80c1d5,Борівка (Богословська),e31b67b3-f25c-486c-828c-b6b1ca5789ac,"Іоанно-богословська церква, с. Борівка Ямпільський повіт Бабчинецька волость",1.01,0.26
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),53b924c4-acb1-4afd-909a-e6e048351836,"Іоанно-Богословська церква, с. Борівка Ямпільський повіт Подільська губернія",1.46,0.15
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),9fd610f7-3beb-4060-ad79-14ef7d4e1e53,"Михайлівська церква, с. Борівка Могилівський повіт Подільська губернія",1.46,0.34
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),d713507b-5586-4e3b-a1b6-2dbde951f6cc,"Михайлівська церква, с. Борівка Ямпільський повіт Бабчинецька волость",1.46,0.32
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),db93a985-dabb-4c66-9358-7d105190673b,"Богуславська церква, с. Борівка Могилівський повіт Подільська губернія",1.46,0.22
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),bff4f921-2320-403b-8082-dd3acb5b01d2,"Соборо-Богословська церква, с. Борівка Ямпільський повіт Подільська губернія",1.46,0.16
2566905e-a0fe-4024-b2eb-87c2453a4052,Борівка (Михайлівська),e31b67b3-f25c-486c-828c-b6b1ca5789ac,"Іоанно-богословська церква, с. Борівка Ямпільський повіт Бабчинецька волость",1.46,0.14
07c19944-9581-494b-81d7-3272eb8e2e0d,Боровне,1eef494a-61e9-4dad-885c-1f60be4d38c7,"Церква Різдва Богородиці, с. Боровне Ковельський повіт",0.12,0.16
07c19944-9581-494b-81d7-3272eb8e2e0d,Боровне,4a916784-9931-4af2-b5a4-4c5051ce2498,"Церква Різдва Пресвятої Богородиці, с. Боровне Боровненська волость Ковельський повіт",0.12,0.11
5a51a0af-cb83-4a9b-9f78-018b473c0354,Бубнів,6e001f8d-50aa-47f8-ac44-7c77219e109f,"Церква Успіння Пресвятої Богородиці, с. Бубнів Свинюхівська волость Володимир-Волинський повіт",0.71,0.09
