161	1	Волинське губернське у земських та міських справах присутствіє м. Житомир, Волинської губернії	0
163	1	Барон де-Шодуар Іван Максиміліанович	0
165	1	Купці Журавльови:Микола Олексійович, Володимир Олексійович, Надія Володимирівна	0
167	1Д	Опис 1 додатковий	0
167	4	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	1ДОД	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	1	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	2	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	3	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	5	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
167	6	З'їзд мирових суддів Житомирського судово-мирового округу м. Житомир	0
168	1	Мировий суддя 1-ої дільниці Житомирського судово-мирового округу	0
169	1	Мировий суддя 2-ої дільниці Житомирського судово-мирового округу	0
170	1	Мировий суддя 3-ої дільниці Житомирського судово-мирового округу	0
171	1	Мировий суддя 4-ої дільниці судово-мирового округу	0
172	1	Мировий суддя 5-ої дільниці судово-мирового округу м. Горошки,Житомирського повіту	0
173	1	Мировий суддя 6-ої дільниці Житомирського судово-мирового округу м-ко Чуднів, Житомирського повіту	1
174	1	Мировий суддя 7-ої дільниці Житомирського судово-мирового округу м-ко Черняхів, Житомирського повіту	0
174	77		1
175	1	Мировий суддя 8-ої дільниці Житомирського судово-мирового округу м-ко Янушпіль, Житомирського повіту	6
176	1	Верхній сільський суд при 5-й мировій дільниці Житомирського судово-мирового округу м-ко Горошки Житомирського повіту	0
177	1	Верхній сільський суд при 6-й мировій дільниці Житомирського судово-мирового округу м-ко Чуднів, Житомирського повіту	0
178	19	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	40	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	1	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	5
178	2	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	3	Метричні книги Житомирського, Ізяславсько-Острожського, Летичівського, Овруцького, Старокостянтинівського, Ушицького деканатів	566
178	4	Відомості єпископських маєтків. Описи костьолів. Лист Папи Римського Григорія XVI і духовних осіб у зв'язку з польським повстанням 1830-1831 рр. Листування про стан парафіяльний училищ, про отримання	4
178	5	Реєстратура консисторії, журнали присутності, протоколи присутності	0
178	6	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	7
178	7	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	9
178	8	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	9	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	10	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	11	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	12	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	13	1 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	14	Луцько-Житомирська римо-католицька духовна консисторія м. Житомир, Волинської губернії	71
178	15	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	16	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	17	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	18	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	20	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	21	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	22	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	23	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	24	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	25	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	26	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	27	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	28	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	29	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	30	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	31	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	34	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	54	Справи про видачу метричних свідоцтв різним особам, метричні книги Сквирсько-Липовецького деканату.	2
178	35	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	36	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	38	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	39	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	41	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	1
178	44	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	45	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	46	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	47	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	48	3 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	49	Метричні книги, сповідні відомості. Прибутково-видаткові книги костьолів і монастирів. Книги парафіяльних костьолів про приєднання до католицизму осіб інших віросповідань. Книга запису урядових указів	66
178	50	Житомирський римсько-католицький кафедральний капітул. Тимчасове відділення Луцько-Житомирської римсько-католицької духовної консисторії. Управління Луцько-Житомирського римсько-католицького архієрейс	0
178	51	Протоколи консисторії, опис костьолів, метричні книги	1825
178	52	Розпорядження консисторії, опис костьолів. Списки парафіян, метричні книги.	10
178	53	Візитні описи та реєстри костьолів і уніатських церков за XVIII ст. Метричні книги.	82
178	32	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	33	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	37	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	42	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	43	2 стіл Луцько-Житомирської римо-католицької духовної консисторії	0
178	334		1
178	51271		1
178	542		1
178	312		1
178	178		1
181	1	Житомирське відділення Державного банку м. Житомир, Волинської губернії	0
182	1Д	Опис 1 додатковий	0
182	1	Волинське відділення селянського поземельного банку м. Житомир, Волинської губернії	13
182	1ДОД	Волинське відділення селянського поземельного банку м. Житомир, Волинської губернії	0
183	1	Волинська губернська земська управа м. Житомир, Волинської губернії	2
184	1		0
186	1	Чижівська соломо-картонно-паперова фабрика поміщика Мезенцева Бориса Сергійовича с. Чижівка, Нов.-Волинського повіту	0
187	1	Волинське товариство хмелярів м. Житомир, Волинської губернії	0
188	1	Житомирське позичково-ощадне товариств хмелярів м. Житомир, Волинської губернії	0
189	1	Центральна державна ощадна каса № 124 Житомирського відділення Державного банку м. Житомир. Волинської губернії	0
190	1	Житомирське повітове казначейство. Житомирське (губернське) казначейство м. Житомир, Волинської губернії	0
192	1	Волинська губернська каса дрібного кредиту м. Житомир, Волинської губернії	0
193	1	Житомирське товариство взаємного кредиту м. Житомир, Волинської губернії	0
193	76		1
194	1	Волинське відділення Азово-Донського комерційного банку м. Житомир, Волинської губернії	0
197	1	Житомирське агенство страхового товариства «Саламандра» м. Житомир, Волинської губернії	0
199	7	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	1	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	2	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	3	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	4	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	5	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
199	6	Корабельне лісництво Волинської палати державного майна м. Житомир, Волинської губернії	0
202	1	Справи про визнання і закріплення за сільськими жителями вічночиншових прав на землю. Справи по клопотанню жителів сс. Буда Ковалівська, Борова Рудня, Турчинка маєтку М. Муравйова (спр. 5, 27, 30); сс	0
206	1	Статистичне бюро Волинської губернської земської управи м. Житомир, Волинської губернії	0
208	1	Житомирська поштово-телеграфна контора м. Житомир, Волинської губернії	0
208	2	Житомирська поштово-телеграфна контора м. Житомир, Волинської губернії	0
