new_full_code,src,copies,sample_parsed
ДАЗПО-П16-1-1395,fs-ref,1,ДАЗпО-(П-16-1-1395+++П-16-1-1395+++П-16-1-1395)
ДАЗПО-П16-1-1396,fs-ref,1,ДАЗпО-(П-16-1-1396+++П-16-1-1396+++П-16-1-1396)
ДАЗПО-П16-1-1397,fs-ref,1,ДАЗпО-(П-16-1-1397+++П-16-1-1397+++П-16-1-1397)
ДАЗПО-П16-1-1398,fs-ref,1,ДАЗпО-(П-16-1-1398+++П-16-1-1398+++П-16-1-1398)
ДАЗПО-П16-1-1399,fs-ref,1,ДАЗпО-(П-16-1-1399+++П-16-1-1399+++П-16-1-1399)
ДАЗПО-П16-1-1400,fs-ref,1,ДАЗпО-(П-16-1-1400+++П-16-1-1400+++П-16-1-1400)
ДАЗПО-П16-1-1401,fs-ref,1,ДАЗпО-(П-16-1-1401+++П-16-1-1401+++П-16-1-1401)
ДАЗПО-П16-1-1402,fs-ref,1,ДАЗпО-(П-16-1-1402+++П-16-1-1402+++П-16-1-1402)
ДАЗПО-П16-1-1403,fs-ref,1,ДАЗпО-(П-16-1-1403+++П-16-1-1403+++П-16-1-1403)
ДАЗПО-П16-1-1404,fs-ref,1,ДАЗпО-(П-16-1-1404+++П-16-1-1404+++П-16-1-1404)
ДАЗПО-П16-1-1405,fs-ref,1,ДАЗпО-(П-16-1-1405+++П-16-1-1405+++П-16-1-1405)
ДАЗПО-П16-1-1406,fs-ref,1,ДАЗпО-(П-16-1-1406+++П-16-1-1406+++П-16-1-1406)
ДАЗПО-П16-1-1407,fs-ref,1,ДАЗпО-(П-16-1-1407+++П-16-1-1407+++П-16-1-1407)
ДАЗПО-П16-1-1408,fs-ref,1,ДАЗпО-(П-16-1-1408+++П-16-1-1408+++П-16-1-1408)
ДАЗПО-П16-1-1409,fs-ref,1,ДАЗпО-(П-16-1-1409+++П-16-1-1409+++П-16-1-1409)
