oc_id,parsed,pat,target
71a1f988-4b6a-4fa3-a96c-1db7b19fc925,"ДАХО-(++++++Ревизские сказки-Чугуев у. , Ф. 31, о. 141, ЕХ35, 1782)","p1 Ф,о,д",ДАХО-31-141-35
e46f90ac-7da2-4132-b6c6-4c2494ccaf9a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ350, 1850)","p1 Ф,о,д",ДАХО-31-141-350
a1117536-f403-4693-8526-c8136cd42f09,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ350, 1850)","p1 Ф,о,д",ДАХО-31-141-350
e7a1d228-b173-45e6-8150-dd8b6400441f,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ351, 1850)","p1 Ф,о,д",ДАХО-31-141-351
cd75533f-f47a-4fc1-9828-0e2cb1c1e8c0,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ351, 1850)","p1 Ф,о,д",ДАХО-31-141-351
ec3e15db-4cef-4b7b-bd94-c2a94fb79485,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ352, 1850)","p1 Ф,о,д",ДАХО-31-141-352
e519eb21-389c-4b76-ba07-e7520680f782,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ352, 1850)","p1 Ф,о,д",ДАХО-31-141-352
37c7cc0f-ece7-40e2-ad14-c5b9626f5ed5,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ353, 1850)","p1 Ф,о,д",ДАХО-31-141-353
803c9707-e461-4c71-ace5-28fb0669cece,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ353, 1850)","p1 Ф,о,д",ДАХО-31-141-353
8f366f64-07cc-4f68-9786-ea90c64b0411,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ354, 1850)","p1 Ф,о,д",ДАХО-31-141-354
3f32907b-91ea-4c50-a7bf-f6af35819dcc,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ354, 1850)","p1 Ф,о,д",ДАХО-31-141-354
63b8f979-2ed6-4c37-bfb1-8a88d339b0dd,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ355, 1851)","p1 Ф,о,д",ДАХО-31-141-355
