full_code,oc_id,parsed
ДАСО-7720-6-276,191c5587-2599-4d97-bfd5-448e622bc9b3,"ДАСО-(7720-6-276+++7720-6-276+++Ф. 7720, о. 6, д. 276 Рождения 1928 (стр. 1-172))"
ДАСО-7720-6-28,f681b5f7-d296-4408-ac4a-20c827a188bf,"ДАСО-(7720-6-28+++7720-6-28+++Ф. 7720, о. 6, д. 28 Рождения 1921 (стр. 1-135) -- Бракосочетания 1923 (стр. 136-158) -- Рождения 1921 (стр. 159-170))"
ДАСО-7720-6-29,0d8a92e7-4c90-4812-b440-9442042a55e5,"ДАСО-(7720-6-29+++7720-6-29+++Ф. 7720, о. 6, д. 29 Рождения 1921)"
ДАСО-7720-6-296,1d7fe3b5-7877-4c41-8aac-f61a88141372,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 27-32))"
ДАСО-7720-6-296,0c96e609-5271-45e4-9fb8-7f9d008a9a23,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 33-35))"
ДАСО-7720-6-296,1d5d775e-220f-4032-b3ca-03f41d1a3bcf,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 92-92))"
ДАСО-7720-6-296,51aeaff4-27e1-422e-8002-3315c1458504,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 64-86))"
ДАСО-7720-6-296,44fec8e3-8d4c-4914-8b77-95ce12d2ffb6,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 53-63))"
ДАСО-7720-6-296,102fa123-5910-4553-a820-dd391cbaa1b8,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 36-52))"
ДАСО-7720-6-296,9205b6ea-5767-4bd9-af32-3480a00ff917,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 94-97))"
ДАСО-7720-6-296,b8ca48e2-d34b-4ab0-aa09-91b74db24502,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 1-20))"
ДАСО-7720-6-296,12427a97-e0ca-4fb8-a444-1f74f7498ff1,"ДАСО-(7720-6-296+++7720-6-296+++Ф. 7720, о. 6, д. 296 Бракосочетания 1929 (стр. 87-91))"
ДАСО-7720-6-297,2602c4f9-e540-4718-908b-5ea98bef79ed,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 40-45))"
ДАСО-7720-6-297,86aeb199-cd97-4e7f-80b3-f3691a976c2e,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 20))"
ДАСО-7720-6-297,020a5238-8e34-4f3d-88e6-6ae92d58a3e4,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 35-39))"
ДАСО-7720-6-297,1ec11def-3bf5-4e06-b1aa-c90d470bb218,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 21-23))"
ДАСО-7720-6-297,916fac00-c6fe-475e-87c2-88e91930e29e,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 1-3))"
ДАСО-7720-6-297,87d409d9-9728-4738-bf28-59ccd0bbd3c7,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 19))"
ДАСО-7720-6-297,418a55c5-c78b-4471-b8ac-e1678b9e468b,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 13-18))"
ДАСО-7720-6-297,897a2148-5224-4d82-aca5-9b689635d1b8,"ДАСО-(7720-6-297+++7720-6-297+++Ф. 7720, о. 6, д. 297 Разводы 1929 (стр. 4-5))"
