target_full_code,inv,fs_sprava,spr_norm,action,oc_id,url
ЦДІАК-128-1-2352,1,2352ч.20,2352,create+link,80641652-0f06-4bec-9082-f05b3a4944c2,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930567
ЦДІАК-128-1-2352,1,2352ч.7,2352,create+link,460a61a3-ea45-4b46-9820-febabf69e53f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930478
ЦДІАК-128-1-2352,1,2352ч.8,2352,create+link,7c01ba16-dc09-4647-85f5-415d3ec6fb23,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930479
ЦДІАК-128-1-2356,1,2356,2356,create+link,a5248325-0860-4b02-884c-4d6ffc18949a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930568
ЦДІАК-128-1-2357,1,2357,2357,create+link,c018308d-cbf9-414d-806d-172cbcb3ff57,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930571
ЦДІАК-128-1-2359,1,2359,2359,create+link,bfed1ce8-b324-4738-9cbb-393928438c34,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930569
ЦДІАК-128-1-2360,1,2360,2360,create+link,4addd287-2752-4559-a945-2fc163c69bc4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930572
ЦДІАК-128-1-2361,1,2361,2361,create+link,177c48fc-b344-4e54-aa94-2eec74fd3fd2,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930574
ЦДІАК-128-1-2362,1,2362,2362,create+link,74485108-e5b2-44b1-bcca-3309b2f59285,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930573
ЦДІАК-128-1-2363,1,2363,2363,create+link,a9d3287a-6ae9-4c6b-92e6-15831a8671bd,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930579
ЦДІАК-128-1-2364,1,2364,2364,create+link,d3fedada-653d-4f12-bc9e-661b5e8199a9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930581
ЦДІАК-128-1-2365,1,2365,2365,create+link,16b41ceb-6cee-4610-8b3b-126d9dcc0700,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930582
ЦДІАК-128-1-2366,1,2366,2366,create+link,cc67422b-e918-4f5b-b0cf-0a799ba119d9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930584
ЦДІАК-128-1-2367,1,2367,2367,create+link,53372947-e146-41f2-9a37-78b76bcbafac,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930589
ЦДІАК-128-1-2368,1,2368,2368,create+link,0461e8dd-151b-44a8-b426-26ba83714760,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930588
ЦДІАК-128-1-2430,1,2430ч.2,2430,link-existing,2e4222aa-5e5f-4b57-8b44-8c52c726aa18,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930561
ЦДІАК-128-1-2430,1,2430ч.3,2430,link-existing,472bfaf0-83c6-4991-9d53-4f4ee3c2f134,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930564
ЦДІАК-128-1-2441,1,2441,2441,create+link,f2ff2514-91c6-4fc2-a16b-de8fbb528742,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930587
ЦДІАК-128-1-2446,1,2446,2446,create+link,9261b009-1cbd-4632-b512-a6bf43b0cf54,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930590
ЦДІАК-128-1-2447,1,2447,2447,create+link,f18e94da-1b4e-4260-9a07-57b4aab13a5e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930594
ЦДІАК-128-1-2450,1,2450,2450,create+link,b19ac61f-a181-469e-97fc-50a3a5b1dbf0,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930600
ЦДІАК-128-1-2455,1,2455,2455,create+link,787b50ae-3d18-484e-9c21-c5403fe88408,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930605
ЦДІАК-128-1-2457,1,2457,2457,create+link,4bc4fe29-199d-40f4-93d2-ff2a43718e0d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930596
