id,code,title
b9ba3426-9743-4b38-b077-b9764026d574,Р223,"Маєвська Валентина Григорівна (1929–1992 рр.) – професор архітектури, кандидат архітектури, Заслужений архітектор УРСР"
6c14a178-da3a-4b85-8029-6052e0edfc14,Р224,"Фукс Георгій Борисович (1927–2008 рр.) – інженер-будівельник, спеціаліст у галузі проектування мостів, кандидат технічних наук, професор, Заслужений будівельник України"
ca5fd1ef-8238-49d0-af53-52251494fabd,Р225,Комплекс агрегатних засобів вимірювальних «Кварц-2М»
0608a425-0e91-40d9-aad0-c1b34d66f510,Р226,
90dd3d86-f9fd-4fd9-a833-08458c70b3dc,Р228,"Панченко Тамара Федотівна (1936 р. н.) – доктор архітектури, професор, дійсний член Академії архітектури, Народний архітектор України"
8f213b0e-d483-4908-be2a-69dca73c61c5,Р229,"Тер-Арутюнянц Георгій Йосипович (1914–2004 рр.) – інженер-конструктор, Заслужений будівельник України"
3c112cc4-c131-48ab-9776-e5490543392f,Р23,
bf364bb4-3b53-4cfa-9c19-029d1727d902,Р231,"Тиховський Володимир Олександрович (1892–1963 рр.) – інженер-металург, спеціаліст у галузі сталеплавильного та прокатного будівництва, професор, кандидат технічних наук"
51b85114-4773-4df3-b9bd-a432ffbf658e,Р232,"Яблонський Дмитро Нілович (1921–2001 рр.) – доктор архітектури, спеціаліст у галузі автоматизованого проектування житлового будівництва"
60b3b183-989b-428b-baa8-e30db84ed76f,Р233,"Головко Віктор Павлович (1927–1994 рр.) – інженер, спеціаліст у галузі систем теплопостачання і вентиляції, директор інституту «Харківсантехпроект»"
db9d5575-dddc-48b2-8726-cf119a4b2d5f,Р234,"Об'єднаний архівний фонд особового походження. Бут Євген Миколайович (1941–2010 рр.) – доктор технічних наук, теплофізик. Бут Микола Григорович (1913–1992 рр.) – учасник Другої світової війни, полковник"
fad42527-fbd7-4809-b54f-566af06b9ed5,Р235,"Нікітенко Веніамін Йосипович (1937–2010 рр.) – інженер, кандидат технічних наук, член Академії будівництва України, лауреат премії Академії будівництва України імені академіка М. С. Буднікова"
a236d7c2-c555-4f8c-be39-6648f6bb8bf6,Р236,"Бєлан Микола Васильович (1937–2006 рр.) – інженер, спеціаліст у галузі авіаційної промисловості, професор, доктор технічних наук, лауреат премії Ради Міністрів СРСР, Заслужений працівник вищої школи УРСР"
135d0dbd-26dd-4516-94c7-1e8a7a412c9f,Р237,"М’ялиця Анатолій Костянтинович (1940 р. н.) – інженер, доктор технічних наук, почесний професор Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», Міністр промислової політики України (2002–2004)"
6bd232b6-f2dd-4bb2-a48b-eb88ca52c813,Р239,"Кондратьєв Микола Федорович (1926–2009 рр.) – перший директор Центрального державного архіву науково-технічної документації УРСР, ветеран праці, історик-архівіст"
c74e0a8e-7dbb-43b3-87f4-08fe9ffd0dab,Р24,
043fdae2-c923-45f4-92a4-7cc4d027c50d,Р240,
98b39f5a-a239-4a1d-84c3-e51215fe86ae,Р241,"Істомін Олександр Миколайович (1933–2005 рр.) – доктор геолого-мінералогічних наук, академік, член Президії Української нафтогазової академії, Заслужений працівник промисловості України"
934be945-3070-4cd8-866a-130e81503864,Р242,"Істоміна Лідія Петрівна (1932 р. н.) – кандидат біологічних наук, ентомолог, старший науковий співробітник"
393b0570-19ad-4ae3-8d6f-717be7ef6bdb,Р244,Звіти про науково-дослідні роботи
57da1cbb-2023-40d8-81b7-c9bc4acc3c23,Р247,"Черановський Олег Романович (1927 р. н.) – доктор технічних наук, Лауреат премії Ради Міністрів СРСР, Лауреат Державної премії України, Почесний авіабудівник СРСР"
ce8cb529-e9f1-4c84-b550-ec223b71a36f,Р248,
02f36bb7-1675-4235-ad8b-3c19723d0a54,Р249,"Гайдачук Віталій Євгенович (1938 р. н.) – фахівець у галузі авіаційної техніки, доктор технічних наук, професор, завідувач кафедри проектування ракетно-космічних апаратів Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», лауреат Державної премії України, Заслужений діяч в галузі науки і техніки України"
9e03cc16-2307-4e7d-b9db-92c74abc58fb,Р25,
29b70c7c-36b4-4fe9-be6d-3d05df27dbe4,Р250,Устаткування для підприємств харчової промисловості
eee5a2a7-e000-45e9-89b2-90ed3a41725e,Р252,Термомагнітні газоаналізатори
aa7a4567-96cf-4418-8ba1-74b4cfa27619,Р255,"Криштафович Микола Йосипович - геолог, викладач, редактор, доктор геології і мінералогії, професор"
619e3a54-4625-4697-bf63-b386456d2981,Р26,
a8b06c31-c367-4973-8a57-f15af44dfe4e,Р27,
e720866c-032d-41e7-94d8-938fd5b3de2b,Р29,Турбогенератор ТГВ-25
0044f8cc-c020-468a-a306-a626810848f8,Р30,"Автобуси ЛАЗ-695, ЛАЗ-697 (697Е – варіант) «Турист»"
7242af3e-9c97-41df-9a65-44037c8c61ca,Р36,
f5cc16b3-03f3-47a8-b572-e5bf2bf17048,Р37,
e0ba5712-31d3-4079-a1af-c11690e1ea3b,Р38,"Комбайн «Комунар ЖМ-4,6»​"
82b44650-e4bf-4e5a-b1b2-a3c8e0db12ef,Р39,
fb0dbfea-c2da-4217-a0a0-aaea74cc0449,Р4,Перший радянський слябінг Ø 1100 мм
b0c8603d-00f8-479d-a0e5-bb7f9422b223,Р40,
e27b11ec-0ad2-42c9-b2c6-6c8971f80fed,Р41,
d0c1be4b-0c9d-4442-9238-ecca0939391f,Р42,
5f202846-018a-448f-b89f-bb3d052563b8,Р43,
d84fec8c-17bc-4e54-8de2-2c08332fa37d,Р44,
97e7ea5b-56fc-4bcf-b9a4-34ef35222fff,Р45,
fc348c4f-5021-4ad5-86eb-d6a6b74ee5ef,Р47,"Бекетов Олексій Миколайович (1862–1941 рр.) – український радянський архітектор і педагог, професор, академік Санкт–Петербурзької імператорської Академії мистецтв, дійсний член Академії архітектури СРСР, Заслужений діяч мистецтв УРСР"
d4cfeb52-521e-455d-b693-4b2f97c46ea8,Р50,
ee411e64-db26-4194-8912-3990c68f34ab,Р53,
824ca5f2-a42e-4176-b8b7-20772bfa980a,Р54,
76fdd037-a745-433c-8815-adad430fdb6d,Р55,
87456fcc-b48f-487a-873a-7b20b8278065,Р56,
405f24f3-61fa-40dd-b95f-419381cdaad3,Р57,Звіти про науково- дослідні роботи Державного науково-дослідного інституту основної хімії «НІОХІМ»
d393e101-ffaf-46c9-be6e-3469163ba86e,Р58,Звіти про науково- дослідні роботи Українського науково-дослідного інституту природних газів «УкрНДІгаз»
66273bed-0320-46ba-aa0b-7eadc06e3dfc,Р60,
2c15707c-2ab0-45b0-8659-d27fd381dfe3,Р61,
d6b9e998-d590-431c-be13-3f95cb553442,Р62,Звіти про науково-дослідні роботи Всесоюзний науково-дослідний і проектний інститут титану
c99ca781-c535-4b1f-b248-9e9b470f960e,Р63,
43d9982d-1b9c-4bcc-b444-818a53a1745a,Р64,
40e0fb62-baad-4194-acdf-3803d64fc817,Р65,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування ""НДІхіммаш"", м. Сєвєродонецьк"
110bbb97-b1b6-4410-b71d-bf6785a5ec2c,Р66,"Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів"
9b2ad48d-dc7d-4ef2-82d6-7dcc4cb3c672,Р67,Звіти про науково- дослідні роботи Інституту верстатів та інструментів
c21bc126-93e0-46ab-b602-a78d07b845b4,Р68,
22e9167f-a298-47a9-949d-3b82feae2df7,Р69,Наукові дослідження в організації виробництва нафтогазової промисловості
e5b74e9e-3672-49b2-9770-a15e2efa207d,Р71,
bfeacadc-23eb-44c3-a434-4b9512a47bab,Р73,
e2300916-5bca-42e5-89ff-c6e1e857f07a,Р74,
44b48cc1-b1b4-404b-a5dc-cff428dac140,Р76,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідний інституту гірничої механіки ім. М.М. Федорова, м Донецьк"
b20e1634-3219-4ba4-a853-3073fcb135e0,Р77,
6f5bccaf-75eb-4b67-8c1f-7693283c7275,Р78,
35daf1b7-2924-4665-a44e-066f0f94f6cf,Р79,Звіти про науково- дослідні роботи Харківської філії Всесоюзного науково-дослідного інституту жирів (ХФ «ВНДІЖ»)
31dd2107-ae16-47ab-af29-7a5efd0f9a51,Р82,
5fa52ea7-89b0-43d1-b53e-f121d1c0630b,Р83,Звіти про науково- дослідні роботи Київського відділення центрального науково-дослідного інституту зв’язку (КВНДІЗ)
ca199e07-a79f-4172-8a4f-0c11f7a0943c,Р86,
3accd879-11f1-46f6-8a5f-3bf334e5d370,Р88,
d51c9b66-1c2c-448d-ad7b-0e2d49c425d1,Р9,
17381f99-b2a0-4fc8-9190-5ed3ea1a2358,Р90,Звіти про науково- дослідні роботи інституту «Діпровугле автоматизація»
0de48096-d492-4868-bd13-227da9e8f127,Р91,
86a5fe7d-a74b-48cf-b93f-7a55004d3b07,Р92,
c7a7d09f-e81f-44d2-82a5-9362852f3ef1,Р93,
04ece7aa-ee69-4523-999c-aa7dd3962a49,Р94,Звіти за темами науково-дослідних робіт
08b2f8bb-eb82-4216-b088-b48ac5a71f29,Р95,
7cf50b4b-d144-4c9a-bbeb-4e0d0f502ca5,Р96,
867f77a8-0b58-4562-95ef-10f1438b7cd1,Р97,Колекція коксового обладнання
f4e02c9e-88c7-4f80-84dc-841f8c240beb,Р98,Звіти про науково-дослідні роботи
00418901-806b-4937-9ba3-e0a13ef10a52,Р99,Звіти за темами науково-дослідних робіт по проблемах Науково-дослідного інституту будівельних матеріалів та виробів (НДІБМВ)
