copy_id,parsed,method,old_file_id,old_inventory_id,new_file_id,new_full_code,deleted_as_dup
0b625b1c-842e-42d1-9d07-53bc991fac7a,ЦДНТА-(Р-78-3-22-2-576+++Р-78-3-22-2-576+++Р-78-3-22-2-576),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,06882bcb-8f36-4207-a05b-9b6383ad625c,ЦДНТА-Р78-2Д-576,f
f54ab2c2-a707-43d1-b33a-40e8114eb73c,ЦДНТА-(Р-78-3-22-2-577+++Р-78-3-22-2-577+++Р-78-3-22-2-577),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,d6796ed3-2d56-40f8-8046-2000c37f37ab,ЦДНТА-Р78-2Д-577,f
31aa808a-8d61-4720-ae0b-a5cce1774ee5,ЦДНТА-(Р-78-3-22-2-578+++Р-78-3-22-2-578+++Р-78-3-22-2-578),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,e1358956-dcba-43b6-b8dd-ceb0aca7c3b4,ЦДНТА-Р78-2Д-578,f
d6684e95-c492-4a6c-bc5a-38750a2f8bff,ЦДНТА-(Р-78-3-22-2-579+++Р-78-3-22-2-579+++Р-78-3-22-2-579),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,98b37070-46d0-4047-b35c-b34690af4355,ЦДНТА-Р78-2Д-579,f
68dd27fd-43f1-497b-af33-606b0bb1ae03,ЦДНТА-(Р-78-3-22-2-580+++Р-78-3-22-2-580+++Р-78-3-22-2-580),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,493b6e2c-5df9-4ff8-bb14-68cb12be1fe1,ЦДНТА-Р78-2Д-580,f
300866c3-a8d8-416a-a9b8-06ff2208fbf0,ЦДНТА-(Р-78-3-22-2-581+++Р-78-3-22-2-581+++Р-78-3-22-2-581),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,41ce8611-d33d-47f4-a50c-91a4f7ae1575,ЦДНТА-Р78-2Д-581,f
6b03695f-79b2-44e1-a424-9094760bcfa9,ЦДНТА-(Р-78-3-22-2-582+++Р-78-3-22-2-582+++Р-78-3-22-2-582),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,b993ee7d-8469-491e-8dd5-b5a50c5bdcc2,ЦДНТА-Р78-2Д-582,f
61f1960e-cbed-43bc-aac6-3554f58d0317,ЦДНТА-(Р-78-3-22-2-583+++Р-78-3-22-2-583+++Р-78-3-22-2-583),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,e6e35a85-7327-4292-bc3f-92b21546493c,ЦДНТА-Р78-2Д-583,f
89b323b8-835d-49ed-9193-1e24feb6a229,ЦДНТА-(Р-78-3-22-2-584+++Р-78-3-22-2-584+++Р-78-3-22-2-584),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,5454c1c0-5b3a-463a-992e-889fb056306a,ЦДНТА-Р78-2Д-584,f
2aa66850-3312-4689-9f15-938a70f61de3,ЦДНТА-(Р-78-3-22-2-585+++Р-78-3-22-2-585+++Р-78-3-22-2-585),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,1b12d6a1-1926-4f1b-ae5f-1c5baa1e7bf2,ЦДНТА-Р78-2Д-585,f
bd573479-185e-4097-88aa-7945231b4d3a,ЦДНТА-(Р-78-3-22-2-586+++Р-78-3-22-2-586+++Р-78-3-22-2-586),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,25b6d8fd-62fe-42c1-915a-79ca342b283e,ЦДНТА-Р78-2Д-586,f
86398592-dbf2-4cb6-88f4-1d3501831561,ЦДНТА-(Р-78-3-22-2-587+++Р-78-3-22-2-587+++Р-78-3-22-2-587),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,e9f7602e-fcae-4809-825c-a435cb5087a6,ЦДНТА-Р78-2Д-587,f
80ae3265-e1b8-46a8-9423-8c4a13778ab0,ЦДНТА-(Р-78-3-22-2-588+++Р-78-3-22-2-588+++Р-78-3-22-2-588),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,f6f6fa73-6d38-4f29-92b1-09b5c5919822,ЦДНТА-Р78-2Д-588,f
42728152-bb67-4d26-b209-b2949ac56ebb,ЦДНТА-(Р-78-3-22-2-589+++Р-78-3-22-2-589+++Р-78-3-22-2-589),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,27c63905-8423-4126-9ff5-1671739a2fc5,ЦДНТА-Р78-2Д-589,f
5051698f-3bf1-4412-b8b5-28c746987943,ЦДНТА-(Р-78-3-22-2-590+++Р-78-3-22-2-590+++Р-78-3-22-2-590),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,ea3278f6-a3c5-4d47-ab86-54a3d271c13f,ЦДНТА-Р78-2Д-590,f
788fb601-3578-498f-af77-83696625b45d,ЦДНТА-(Р-78-3-22-2-591+++Р-78-3-22-2-591+++Р-78-3-22-2-591),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,9702c62d-5545-48a1-a674-b48171b19603,ЦДНТА-Р78-2Д-591,f
852e791c-bc7c-41f2-b55d-1128dafe1560,ЦДНТА-(Р-78-3-22-2-592+++Р-78-3-22-2-592+++Р-78-3-22-2-592),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,488c89b2-f92a-4fc7-9e77-e87d561e91b3,ЦДНТА-Р78-2Д-592,f
6cc979dc-c6f6-4ca1-9835-3949cc998c54,ЦДНТА-(Р-78-3-22-2-593+++Р-78-3-22-2-593+++Р-78-3-22-2-593),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,98a8a5da-bec1-415b-b190-15ecaec48e4a,ЦДНТА-Р78-2Д-593,f
25c788a4-c2dc-405d-8c65-b5a80adced9c,ЦДНТА-(Р-78-3-22-2-594+++Р-78-3-22-2-594+++Р-78-3-22-2-594),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,6017b0ac-922b-403f-8c25-c2ca1f298c6d,ЦДНТА-Р78-2Д-594,f
77c7d77c-2a69-4a7d-bcc1-0708eaef646c,ЦДНТА-(Р-78-3-22-2-595+++Р-78-3-22-2-595+++Р-78-3-22-2-595),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,90067a9c-bf30-4d30-a54e-cc28f8cbaf9f,ЦДНТА-Р78-2Д-595,f
d3d6aae5-6734-4a7c-8cc1-b5ebe934e28a,ЦДНТА-(Р-78-3-22-2-596+++Р-78-3-22-2-596+++Р-78-3-22-2-596),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,5d5320bc-646e-4042-a9dc-ede935c98b20,ЦДНТА-Р78-2Д-596,f
98f802c0-fbdd-4d2e-a82f-1f6a28353472,ЦДНТА-(Р-78-3-22-2-597+++Р-78-3-22-2-597+++Р-78-3-22-2-597),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,8ce2e1ea-a953-4239-8780-df5247a648f5,ЦДНТА-Р78-2Д-597,f
4c91e0a9-14cd-4ed4-a85c-0a322f3c98cc,ЦДНТА-(Р-78-3-22-2-598+++Р-78-3-22-2-598+++Р-78-3-22-2-598),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,27da6cf0-1f6a-4205-9dbf-c2aab32aa85d,ЦДНТА-Р78-2Д-598,f
058ae94b-1bb9-4021-bc86-2bda645e23ee,ЦДНТА-(Р-78-3-22-2-599+++Р-78-3-22-2-599+++Р-78-3-22-2-599),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,fc079789-8fa3-4260-a0cc-648cf44ffaaf,ЦДНТА-Р78-2Д-599,f
b0acdca1-59a2-41e3-8656-e32b6ff90b7b,ЦДНТА-(Р-78-3-22-2-600+++Р-78-3-22-2-600+++Р-78-3-22-2-600),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,5b277858-66f6-4313-82e3-9dbf72830e59,ЦДНТА-Р78-2Д-600,f
