id,created_at,created_by,resolved_at,resolved_by,type,note,is_rejected,online_copy_id,inventory_id
ef9fa5b9-4717-4ae9-9f9d-7dbdcc035450,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,18b5e46c-2edc-4a4c-af8f-dca7cced7002,0c98e68f-682f-4cd6-8b75-1d095d48894c
88700be9-024b-444d-8df5-657f29161f42,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,3e1e8e37-40f8-4673-96cf-7650184f3dfb,0c98e68f-682f-4cd6-8b75-1d095d48894c
8f395ac7-27bf-42b3-bffe-a868c20e49dc,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,4068eab1-3329-4b2b-8a1f-d27b25b55493,0c98e68f-682f-4cd6-8b75-1d095d48894c
fbdb434b-3da4-477f-8a25-e5917892ef5b,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,8c097311-45d7-4503-9ba3-1eae125e59f5,0c98e68f-682f-4cd6-8b75-1d095d48894c
1af33b82-6f19-46aa-931b-85d0ac1cf91b,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,2157a64e-8d4c-4ad3-9247-6ce8658e53f8,0c98e68f-682f-4cd6-8b75-1d095d48894c
7d74fd27-50cb-4e41-a016-3f7a764b0316,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,2cd7da9f-d7a8-4d16-9156-47867ab553b7,0c98e68f-682f-4cd6-8b75-1d095d48894c
13b9a234-57c9-4512-9064-e0abe4192825,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,2ed03178-43e5-4dbc-b61c-8244e76185a5,0c98e68f-682f-4cd6-8b75-1d095d48894c
909aacc3-0912-4ea8-affd-a0e836478d8f,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,096472c9-14c8-4dac-ae99-1429e775466c,0c98e68f-682f-4cd6-8b75-1d095d48894c
bb368d2b-b074-453d-8385-674cebc40ea7,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,f70dca84-d410-43c5-96e1-55ef2351b319,0c98e68f-682f-4cd6-8b75-1d095d48894c
b13acff4-aa75-4862-a936-67553a221378,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,063d7586-5429-4b0a-b83d-b1ade982ba85,0c98e68f-682f-4cd6-8b75-1d095d48894c
aa2ba4da-a467-45cb-9cc5-ec5fe82c6416,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,8fc192ba-eb43-4f32-bbb7-7bb273c3a50d,0c98e68f-682f-4cd6-8b75-1d095d48894c
04ac1cb0-f28f-47d5-9224-a4e497c18805,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,2dd60a91-4dba-469f-a7e3-b30282bdb552,0c98e68f-682f-4cd6-8b75-1d095d48894c
c68c0a49-2761-4fad-9f5c-ec66247efae9,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,257e2089-83ab-4cda-a089-c8fc3ac804ff,0c98e68f-682f-4cd6-8b75-1d095d48894c
4e880ac6-e130-402d-8bb1-0280980d30df,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,6b08e5de-6824-42fa-a46f-598402b01f32,0c98e68f-682f-4cd6-8b75-1d095d48894c
