old_full_code,new_full_code
ПЕРІОДИКА-1005-1923-73243,ПЕРІОДИКА-1005-1923-130
ПЕРІОДИКА-1005-1923-73244,ПЕРІОДИКА-1005-1923-179
ПЕРІОДИКА-1005-1923-73245,ПЕРІОДИКА-1005-1923-75
ПЕРІОДИКА-1005-1923-73246,ПЕРІОДИКА-1005-1923-142
ПЕРІОДИКА-1005-1923-73247,ПЕРІОДИКА-1005-1923-59
ПЕРІОДИКА-1005-1923-73248,ПЕРІОДИКА-1005-1923-65
ПЕРІОДИКА-1005-1923-73249,ПЕРІОДИКА-1005-1923-38
ПЕРІОДИКА-1005-1923-73250,ПЕРІОДИКА-1005-1923-171
ПЕРІОДИКА-1005-1923-73251,ПЕРІОДИКА-1005-1923-164
ПЕРІОДИКА-1005-1923-73252,ПЕРІОДИКА-1005-1923-176
ПЕРІОДИКА-1005-1923-73253,ПЕРІОДИКА-1005-1923-211
ПЕРІОДИКА-1005-1923-73254,ПЕРІОДИКА-1005-1923-124
ПЕРІОДИКА-1005-1923-73255,ПЕРІОДИКА-1005-1923-218
ПЕРІОДИКА-1005-1923-73256,ПЕРІОДИКА-1005-1923-114
ПЕРІОДИКА-1005-1923-73257,ПЕРІОДИКА-1005-1923-20
ПЕРІОДИКА-1005-1923-73258,ПЕРІОДИКА-1005-1923-220
ПЕРІОДИКА-1005-1923-73259,ПЕРІОДИКА-1005-1923-36
ПЕРІОДИКА-1005-1923-73260,ПЕРІОДИКА-1005-1923-169
ПЕРІОДИКА-1005-1923-73261,ПЕРІОДИКА-1005-1923-196
ПЕРІОДИКА-1005-1923-73262,ПЕРІОДИКА-1005-1923-125
ПЕРІОДИКА-1005-1923-73263,ПЕРІОДИКА-1005-1923-11
ПЕРІОДИКА-1005-1923-73264,ПЕРІОДИКА-1005-1923-121
ПЕРІОДИКА-1005-1923-73265,ПЕРІОДИКА-1005-1923-87
ПЕРІОДИКА-1005-1923-73266,ПЕРІОДИКА-1005-1923-156
ПЕРІОДИКА-1005-1923-73267,ПЕРІОДИКА-1005-1923-10
