seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
0	opisi-2	2-1	Р-19	Танкер «Вайян Кутюр’є»	1	1-84	1948-1952	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-1_1.pdf
1	opisi-2	2-2	Р-20	Парова турбіна ВК 100-4	1	1-10	1951-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
2	opisi-2	2-3	Р-20	Поворотно-лопатева гідравлічна турбіна потужністю 58000 кВт	1	1-10	1956	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-2_1__2-3_1.pdf
3	opisi-2	2-4	Р-21	Молотарка МК-1100	1	1-24	1944-1952	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
4	opisi-2	2-5	Р-21	Молотарка МС-1100	1	1-20	1947-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
5	opisi-2	2-6	Р-21	Молотарка МСА-1100	1	1-2	1951-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
6	opisi-2	2-7	Р-21	Молотарка МСС-1100	1	1	1948-1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
7	opisi-2	2-8	Р-21	Молотарка МКС-1100	1	1-2	1952-1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-4_1__2-5_1__2-6_1__2-7_1__2-8_1.pdf
8	opisi-2	2-9	Р-22	Перший радянський блюмінг	1	1-2	1933	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-9_1.pdf
9	opisi-2	2-10	Р-12	Агрегат похилого електробуріння	1	1-11	1953-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
10	opisi-2	2-11	Р-12	Дослідно-промислова установка з розморожування залізної руди	1	1-14	1962-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
11	opisi-2	2-12	Р-12	Дослідна установка з обігріву двигунів автомобілів пальниками інфрачервоного випромінювання на безгаражній стоянці автобази № 36 Головмосавтотрансу	1	1-24	1922-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
12	opisi-2	2-13	Р-12	Дослідно-промислова установка з обігріву двигунів автомобілів газовими пальниками інфрачервоного випромінювання на спец автобазі аеропорту Куйбишев-1	1	1-14	1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
13	opisi-2	2-14	Р-12	Дослідні пташники Українського науково-дослідного інституту птахівництва. Обладнання пальниками інфрачервоного випромінювання СВ-2. Харківська обл. Станція "Борки"	1	1-3	1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
14	opisi-2	2-15	Р-12	Дослідна установка брудерів та газових пальників інфрачервоного випромінювання у пташниках радгоспу імені В. П. Чкалова Донецької обл.	1	1-13	1961-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-10_1__2-11_1__2-12_1__2-13_1__2-14_1__2-15_1.pdf
15	opisi-2	2-16	Р-23	Комбайн УКМГ-1	1	1-9	1951-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-16_1.pdf
16	opisi-2	2-17	Р-24	Телевізійний приймач «Верховина»	1	1-31	1957-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-17_1__2-18_1__2-19_1.pdf
17	opisi-2	2-18	Р-24	Телевізійний приймач «Верховина-А»	1	1-8	1958-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-17_1__2-18_1__2-19_1.pdf
18	opisi-2	2-19	Р-24	Телевізійний приймач «Україна-2»	1	1-12	1963-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-17_1__2-18_1__2-19_1.pdf
19	opisi-2	2-20	Р-25	Паровози типу 1-5-1 серії «ФД»	1	1-195	1931-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-20_1__2-21_1__2-22_1__2-23_1__2-24_1.pdf
20	opisi-2	2-21	Р-25	Пасажирські паровози типу 1-4-2 серії «ИС»	1	1-42	1934-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-20_1__2-21_1__2-22_1__2-23_1__2-24_1.pdf
21	opisi-2	2-22	Р-25	Товарні паровози типу 1-5-0 серії «СО»	1	1-38	1935-1951	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-20_1__2-21_1__2-22_1__2-23_1__2-24_1.pdf
22	opisi-2	2-23	Р-25	Товарні паровози типу 1-5-2	1	1-43	1946-1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-20_1__2-21_1__2-22_1__2-23_1__2-24_1.pdf
23	opisi-2	2-24	Р-25	Товарні паровози типу 1-5-1 серії «ЛВ»	1	1-185	1939-1957	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-20_1__2-21_1__2-22_1__2-23_1__2-24_1.pdf
24	opisi-2	2-25	Р-26	Гусеничний трактор ДТ-54А	1	1-85	1945-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-25_1.pdf
25	opisi-2	2-26	Р-27	Газогенераторний трактор ХТЗ-12	1	1-8	1939	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-26_1.pdf
26	opisi-2	2-27	Р-29	Турбогенератор ТГВ-25	1	1-25	1939-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-27_1.pdf
27	opisi-2	2-28	Р-30	Автобуси ЛАЗ-695, ЛАЗ-697 (697Е – варіант) «Турист»	1	1-53	1956-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-28_1.pdf
28	opisi-2	2-28	Р-30	Автобуси ЛАЗ-695, ЛАЗ-697 (697Е – варіант) «Турист»	2	54-116	1953-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-28_2.pdf
29	opisi-2	2-29	Р-36	Комбайн малогабаритний барабанолопастевого типу МБЛ​	1	1-12	1958-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-29_1.pdf
30	opisi-2	2-30	Р-26	Електротрактор ХТЗ-15АМ	1	1-31	1952-1956	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-30_1.pdf
31	opisi-2	2-31	Р-38	Комбайн «Комунар ЖМ-4,6»​	1	1-43	1930-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-31_1.pdf
32	opisi-2	2-32	Р-39	Пасажирські 4-вісні паровози системи "Компаунд" з 3-вісними тендерами, типу Миколаївської залізниці	1	1-3	1903	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
33	opisi-2	2-33	Р-39	Пасажирський паровоз 2-3-0 Брянського заводу з пароперегрівником Шмідта	1	1-2	1903	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
34	opisi-2	2-34	Р-39	Пасажирський паровоз 2-3-0 з пароперегрівником системи Шмідта урядового замовлення	1	1	1903	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
35	opisi-2	2-35	Р-39	Пасажирський паровоз 1-3-1 з пароперегрівником системи Ноткіна	1	1-3	1912	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
36	opisi-2	2-36	Р-39	Пасажирський паровоз 1-3-1 з пароперегрівником системи Шмідта з 4-вісним тендером	1	1-3	1915	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
37	opisi-2	2-37	Р-39	Пасажирський паровоз 1-3-1 серії Сʸ з перегрівником	1	1	1929	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
38	opisi-2	2-38	Р-39	Пасажирський паровоз 1-3-1 серії Сʸ (змінені креслення)	1	1	1935	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
39	opisi-2	2-39	Р-39	Товарний паровоз 0-5-0 з простою двоциліндровою машиною та пароперегрівником системи Шмідта	1	1-1а	1917	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
40	opisi-2	2-40	Р-39	Товарний паровоз 0-5-0 серії Эʸ	1	1-3	1930	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
41	opisi-2	2-41	Р-39	Товарний паровоз 0-5-0 серії Эᴹ	1	1	1936	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
42	opisi-2	2-42	Р-39	8-колісний тендер для товарного паровозу 0-4-0 нормального типу 1901 р. системи "Компаунд" та товарного паровозу 0-5-0 Луганського заводу	1	1	1915	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-32_1__2-33_1__2-34_1__2-35_1__2-36_1__2-37_1__2-38_1__2-39_1__2-40_1__2-41_1__2-42_1.pdf
43	opisi-2	2-43	Р-27	Колісний трактор СХТЗ НР 15/30	1	1-11	1930-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-43_1.pdf
44	opisi-2	2-44	Р-40	Двигун СМ-1	1	1-27	1949-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-44_1.pdf
45	opisi-2	2-45	Р-41	Колесо-фрезерний верстат КЖ-20	1	1-15	1958-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-45_1__2-46_1.pdf
46	opisi-2	2-46	Р-41	Токарно-копіювальні верстати ТКБ-2, ТКБ-2/10	1	1-10	1958-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-45_1__2-46_1.pdf
47	opisi-2	2-47	Р-42	Двосекційний магістральний тепловоз типу 2(20-20) серії ТЭ-2	1	1-8	1948-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-47_1.pdf
48	opisi-2	2-48	Р-44	Координатно-розточувальні верстати з програмним керуванням	1	1-10	1957	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-48_1.pdf
49	opisi-2	2-48	Р-44	Координатно-розточувальні верстати з програмним керуванням	2	11-31	1950-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-48_2.pdf
50	opisi-2	2-49	Р-45	Вугільний комбайн для пластів крутого падіння УКР	1	1-19	1953-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-49_1.pdf
51	opisi-2	2-49	Р-45	Вугільний комбайн для пластів крутого падіння УКР	2	20-87	1959-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-49_2.pdf
52	opisi-2	2-50	Р-50	Агрегат 8 У-22	1	1-104	1951-1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
53	opisi-2	2-51	Р-50	Агрегат 8 У-24	1	1-77	1952-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
54	opisi-2	2-52	Р-50	Агрегат 8 У-25	1	1-95	1956-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
55	opisi-2	2-53	Р-50	Агрегат 8 Т-21 /Козловий кран/	1	1-52	1951-1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
56	opisi-2	2-54	Р-50	Агрегат 8 Т-130 /К-1 Трансбордерний візок/	1	1-44	1953-1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
57	opisi-2	2-55	Р-4	Перший радянський слябінг Ø 1100 мм	1	1-111	1935-1936	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-55_1.pdf
58	opisi-2	2-56	Р-40	Комбайновий дизельний двигун СМД-7	1	1-37	1953-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-56_1.pdf
59	opisi-2	2-57	Р-53	Пересувний локомобіль П-38	1	1-9	1949-1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-57_1__2-58_1.pdf
60	opisi-2	2-58	Р-53	Пересувний локомобіль 4-ЛП-20	1	1-9	1946-1951	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-57_1__2-58_1.pdf
61	opisi-2	2-59	Р-50	Слябінг 1150 для Карагандинського металургійного заводу	1	1-23	1949-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
62	opisi-2	2-60	Р-54	Мотор електробура 3250/8	1	1	1938	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
63	opisi-2	2-61	Р-54	Електробур Э-250	1	1-12	1957-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
64	opisi-2	2-62	Р-54	Електробур ЭР 170А	1	1-20	1963-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
65	opisi-2	2-63	Р-50	Блюмінг 1000 для Руставського металургійного заводу	1	1	1945-1950	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
66	opisi-2	2-64	Р-50	Роторний екскаватор ЭРГ-1600	1	1-2	1954-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
67	opisi-2	2-65	Р-25	Тепловози	1	1-238	1957-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_1.pdf
68	opisi-2	2-65	Р-25	Тепловози	2	239-900;901-1601	1960-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_2_239-900.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_2_901-1601.pdf
69	opisi-2	2-65	Р-25	Тепловози	3	1602-2324	1960-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_3.pdf
70	opisi-2	2-65	Р-25	Тепловози	4	2325-2672	1950-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_4.pdf
71	opisi-2	2-65	Р-25	Тепловози	5	2673-3027	1955-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_5.pdf
72	opisi-2	2-65	Р-25	Тепловози	6	3028-3175	1951-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_6.pdf
73	opisi-2	2-65	Р-25	Тепловози	7	3176-3216	1955-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_7.pdf
74	opisi-2	2-65	Р-25	Тепловози	8	3217-3251	1959-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_8.pdf
75	opisi-2	2-65	Р-25	Тепловози	9	3252-3366	1960-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_9.pdf
76	opisi-2	2-65	Р-25	Тепловози	10	3367-3496	1960-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_10.pdf
77	opisi-2	2-65	Р-25	Тепловози	11	3497-4459	1961-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_11.pdf
78	opisi-2	2-65	Р-25	Тепловози	12	4460-4663	1961-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_12.pdf
79	opisi-2	2-65	Р-25	Тепловози	13	4664-5443	1954-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_13.pdf
80	opisi-2	2-65	Р-25	Тепловози	14	5444-6504	1953-1959	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-65_14.pdf
81	opisi-2	2-66	Р-45	Вугільні комбайни типу «Донбасс»	1	1-99	1951-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_1.pdf
82	opisi-2	2-66	Р-45	Вугільні комбайни типу «Донбасс»	2	100-247	1951-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
83	opisi-2	2-67	Р-45	Вугільний комбайн «Горняк»	1	1-34	1951-1955	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
84	opisi-2	2-68	Р-45	Клітьовий комплекс Всесвітньої виставки, м. Брюссель	1	1-81	1957	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-66_2__2-67_1__2-68_1.pdf
85	opisi-2	2-69	Р-60	Установка для виробництва труб із поліетилену на базі черв’ячного преса 4 ВПТР-160	1	1-115	1964-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-69_1.pdf
86	opisi-2	2-70	Р-63	Лінія для виготовлення труб	1	1-240	1964-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_1.pdf
87	opisi-2	2-70	Р-60	Лінія для виготовлення труб	2	241-287	1966-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_2.pdf
88	opisi-2	2-70	Р-60	Лінія для виготовлення труб	3	288-383	1979-1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_3.pdf
89	opisi-2	2-70	Р-60	Лінія для виготовлення труб	4	384-411	1983-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-70_4.pdf
90	opisi-2	2-71	Р-14	Устаткування для виїмки, підіймання та збагачення вугілля	1	1-206	1956-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-71_1.pdf
91	opisi-2	2-72	Р-50	Безперервний широкосмуговий стан-2000	1	1-274	1950-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-72_1.pdf
92	opisi-2	2-73	Р-50	Екскаватор ЭВГ-3565М	1	1-86	1965-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-73_1.pdf
93	opisi-2	2-74	Р-23	Високомоментний секційний радіально-плунжерний гідромотор ВГД-630 м	1	1-19	1965-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
94	opisi-2	2-75	Р-23	Насоси	1	1-6	1934-1941	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
95	opisi-2	2-76	Р-23	Вентилятори	1	1-7	1929-1939	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
96	opisi-2	2-77	Р-23	Компресори	1	1-13	1929-1941	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-74_1__2-75_1__2-76_1__2-77_1.pdf
97	opisi-2	2-78	Р-64	Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3	1	1-126	1948-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_1.pdf
98	opisi-2	2-78	Р-64	Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3	2	127-149	1963-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_2.pdf
99	opisi-2	2-78	Р-64	Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3	3	150-240	1950-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-78_3.pdf
100	opisi-2	2-79	Р-63	Агрегат для виготовлення плівки з поліетилену на базі черв’ячного преса Ø 63 мм	1	1-61	1965-1974	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-79_1.pdf
101	opisi-2	2-80	Р-44	Свердлувально-фрезерувальний верстат із програмним керуванням моделі ОФ-11	1	1-22	1963-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-80_1.pdf
102	opisi-2	2-81	Р-73	Електронограф ЭР-100	1	1-116	1964-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-81_1.pdf
103	opisi-2	2-82	Р-73	Лупа часу ЛВ-03	1	1-132	1961-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-82_1.pdf
104	opisi-2	2-83	Р-74	Електродвигун асинхронний АКН-14-49-12	1	1-40	1947-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
105	opisi-2	2-84	Р-74	Електродвигун синхронний МС-321-6/6	1	1-7	1947-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
106	opisi-2	2-85	Р-74	Двигун сталого струму типу ПБК 380/125	1	1-33	1948-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-83_1__2-84_1__2-85_1.pdf
107	opisi-2	2-86	Р-74	Електродвигун сталого струму типу ПБКЭ 285/135	1	1-26	1945-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
108	opisi-2	2-87	Р-74	Електродвигун сталого струму типу ПБК 250/145	1	1-35	1945-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
109	opisi-2	2-88	Р-74	Генератор сталого струму типу 2ПГК 120/50	1	1-46	1950-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-86_1__2-87_1__2-88_1.pdf
110	opisi-2	2-89	Р-21	Бурякозбиральний комбайн СКН-2	1	1-41	1964-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-89_1.pdf
111	opisi-2	2-90	Р-77	Автоматизація об’єкта № 730/193	1	1-113	1955-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-90_1.pdf
112	opisi-2	2-91	Р-77	Обчислювальна машина «Порадник майстра доменної печі» СМ-2	1	1-16	1959-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-91_1.pdf
113	opisi-2	2-92	Р-77	Комплексна автоматизація виробництва міцної та слабкої азотної кислоти із застосуванням керувальної обчислювальної машини	1	1-453;454-954	1954-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-92_1_1-453.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-92_1_454-954.pdf
114	opisi-2	2-93	Р-77	Машина первинної переробки інформації МППИ-1	1	1-623;624-1258	1960-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-93_1_1-623.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-93_1_624-1258.pdf
115	opisi-2	2-94	Р-23	Комбайн очисний вузькозахоплювальний «Луч»	1	1-32	1971-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-94_1__2-95_1.pdf
116	opisi-2	2-95	Р-23	Комбайн човниковий І У70	1	1-67	1970-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-94_1__2-95_1.pdf
117	opisi-2	2-96	Р-73	Універсальний електронний мікроскоп УЭМВ-100 к	1	1-48	1962-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-96_1.pdf
118	opisi-2	2-97	Р-44	Контурний копіювально-фрезерувальний верстат моделі 6П42К з програмним керуванням	1	1-88	1956-1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-97_1.pdf
119	opisi-2	2-98	Р-73	Аналізатор імпульсів АИ-128-2/3	1	1-347	1965-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-98_1.pdf
120	opisi-2	2-99	Р-73	Мас-спектрометр МХ-1211	1	1-386	1963-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-99_1.pdf
121	opisi-2	2-100	Р-82	Редуктор ЦДН-115	1	1-14	1954-1959	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-100_1__2-101_1.pdf
122	opisi-2	2-101	Р-82	Багатоканатна підіймальна машина МК 2, Iх4Р	1	1-69	1956-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-100_1__2-101_1.pdf
123	opisi-2	2-102	Р-77	Автоматична друкарська машинка АПМ-1	1	1-186	1959-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-102_1.pdf
124	opisi-2	2-103	Р-77	Система «Байкал»	1	1-369	1964-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-103_1.pdf
125	opisi-2	2-104	Р-73	Зв’язок шахтний іскробезпечний високочастотний типу ШВС-3А	1	1-89	1966-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-104_1__2-106_1.pdf
126	opisi-2	2-105	Р-77	Координуюча обчислювальна машина КВМ-1	1	1-1107;1108-2030	1962-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_1_1-1107.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_1_1108-2030.pdf
127	opisi-2	2-105	Р-77	Координуюча обчислювальна машина КВМ-1	2	2031-3008;3009-3667	1964-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_2_2031-3008.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-105_2_3009-3667.pdf
128	opisi-2	2-106	Р-73	Мас-спектрометр МХ 2301	1	1-68	1966-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-104_1__2-106_1.pdf
129	opisi-2	2-107	Р-53	Кукурудзозбиральний комбайн «Херсонец», марки ККХ-3	1	1-467	1955-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-107_1.pdf
130	opisi-2	2-108	Р-82	Роторний екскаватор ЭРГ 350/1000	1	1-188	1949-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-108_1.pdf
131	opisi-2	2-109	Р-88	Уніфікована система безперервного розливу сталі УНРС	1	1-315	1967-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-109_1.pdf
132	opisi-2	2-110	Р-77	Обчислювальні системи, скомпоновані з обладнання агрегатної системи засобів обчислювальної техніки (АСОТ) типу «М-2000», «М-3000»	1	1-1278	1966-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-110_1.pdf
