seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
442	opisi-2	2-355	Р-184	Міжопераційний транспорт автоматичних ліній	7	2430-2479	1982-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-355_7.pdf
443	opisi-2	2-356	Р-78	Апарати шнекові	1	1-44	1980-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-356_1.pdf
444	opisi-2	2-357	Р-78	Установка випарна з мазутними зануреними пальниками	1	1-34	1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-357_1.pdf
445	opisi-2	2-358	Р-78	Апарати випарні	1	1-14	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-358_1.pdf
446	opisi-2	2-359	Р-78	Апарати теплообмінні	1	1-27	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-359_1.pdf
447	opisi-2	2-359	Р-78	Апарати теплообмінні	2	28-37	1980-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-359_2.pdf
448	opisi-2	2-360	Р-78	Сушарка розпилювальна	1	1-14	1979-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-360_1.pdf
449	opisi-2	2-361	Р-78	Кристалізатори	1	1-28	1980-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-361_1.pdf
450	opisi-2	2-361	Р-78	Кристалізатори	2	29-58	1980-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-361_2.pdf
451	opisi-2	2-362	Р-78	Фільтри спеціальні	1	1-11	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-362_1.pdf
452	opisi-2	2-363	Р-78	Герметичний апарат з магнітним вузлом обертання	1	1-9	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-363_1.pdf
453	opisi-2	2-364	Р-226	Технологічне обладнання для нагріву	1	1-115	1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-364_1.pdf
454	opisi-2	2-365	Р-78	Центрифуги	1	1-10	1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-365_1.pdf
455	opisi-2	2-366	Р-78	Апарати колонні з різними діаметрами	1	1-45	1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-366_1.pdf
456	opisi-2	2-366	Р-78	Апарати колонні з різними діаметрами	2	46-69	1981-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-366_2.pdf
457	opisi-2	2-367	Р-78	Апарати колонні тарільчасті	1	1-54	1981-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-367_1.pdf
458	opisi-2	2-368	Р-226	Лабораторне обладнання	1	1-673	1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-368_1.pdf
459	opisi-2	2-369	Р-60	Лінія гранулювання розплаву поліетилену	1	1-120	1975-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-369_1.pdf
460	opisi-2	2-369	Р-60	Лінія гранулювання розплаву поліетилену	2	121-376	1976-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-369_2.pdf
461	opisi-2	2-370	Р-250	Устаткування для підприємств харчової промисловості	1	1-84	1973-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-370_1.pdf
462	opisi-2	2-370	Р-250	Устаткування для підприємств харчової промисловості	2	85-162	1975-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-370_2.pdf
463	opisi-2	2-370	Р-250	Устаткування для підприємств харчової промисловості	3	163-164	1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-370_3.pdf
464	opisi-2	2-371	Р-78	Випарні установки	1	1-40	1980-1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-371_1.pdf
465	opisi-2	2-372	Р-252	Термомагнітні газоаналізатори	1	1-207	1967-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-372_1.pdf
466	opisi-2	2-373	Р-193	Ливарні лінії	1	1-83	1981-1997	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-373_1.pdf
467	opisi-2	2-374	Р-193	Лабораторне обладнання для ливарного виробництва	1	1	2006	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-374_1.pdf
468	opisi-2	2-375	Р-60	Лінія для виробництва плівки	1	1-155	1983-1987	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-375_1.pdf
469	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	1	1-52	1945-1950	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_1.pdf
470	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	2	53-73	1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_2.pdf
471	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	3	74-611	1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_3pdf.pdf
472	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	4	612-676	1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_4pdf.pdf
473	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	5	677-721	1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_5pdf.pdf
474	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	6	722-752	1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_6pdf.pdf
475	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	7	753-818	1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_7pdf.pdf
476	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	8	819-838	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_8pdf.pdf
477	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	9	839-855	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_9pdf.pdf
478	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	10	856-873	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_10pdf.pdf
479	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	11	874-957	1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_11pdf.pdf
480	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	12	958-976	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_12pdf.pdf
481	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	13	977-1014	1994-1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_13pdf.pdf
482	opisi-2	2-376	Р-78	Устаткування для підприємств хімічної промисловості	14	1015-1033	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-376_14pdf.pdf
